source	nct_id	minimum_age	maximum_age	arm_name	ae	sae	subjects_at_risk	female	male	age_m	age_s	bmi_m	bmi_s	total_derived	fu_days	ctgov_group_code_bas	ctgov_group_code_aes	gender_elig	hard_outcome	type_comparison	comparison_type	cmprsn
ng	NCT00219024	18		Aliskiren/Hydrochlorothiazide 150/6.25mg		2	176	80	96	53.9	11.12	29.5	5.14		56			All	0	placebo	cc_plac	C03AA03|C09XA02
ng	NCT00219024	18		Aliskiren/Hydrochlorothiazide 300/12.5mg		2	181	92	89	55.5	11.67	29.7	5.48		56			All	0	placebo	cc_plac	C03AA03|C09XA02
ng	NCT00219024	18		Aliskiren/Hydrochlorothiazide 300/25mg		1	173	75	98	54.8	10.86	29.8	5.66		56			All	0	placebo	cc_plac	C03AA03|C09XA02
ng	NCT00219024	18		Aliskiren/Hydrochlorothiazide 75/12.5mg		5	193	92	101	54.4	10.11	29.5	5.63		56			All	0	placebo	cc_plac	C03AA03|C09XA02
ng	NCT00219024	18		Aliskiren/Hydrochlorothiazide 75/25mg		4	186	85	101	54.7	12.17	29.6	5.7		56			All	0	placebo	cc_plac	C03AA03|C09XA02
ng	NCT00219024	18		Aliskiren/Hydrochlorothiazide 75/6.25mg		0	188	80	108	55.1	10.63	29.1	4.85		56			All	0	placebo	cc_plac	C03AA03|C09XA02
ng	NCT00219024	18		Placebo		0	195	86	109	54.4	11.8	29.6	5.81		56			All	0	placebo	cc_plac	C03AA03|C09XA02
ng	NCT00219024	18		Total		19	1666	762	904	54.57521008	11.27146708	29.47454982	5.487560553	calculated	56			All	0	placebo	cc_plac	C03AA03|C09XA02
ng	NCT00219037	18		Aliskiren 150mg		33	1179	566	613	55.7	11.3	29.3	4.93		487			All	1	diff_class3	cc3	C03
ng	NCT00219037	18		Aliskiren 300mg		35	776	362	414	55.9	11.48	29.2	5.2		487			All	1	diff_class3	cc3	C03
ng	NCT00219037	18		Total		5	1955	472	517	55.78	11.32	29.26	5.02	reported	487			All	1	diff_class3	cc3	C03
ng	NCT00219063	18		Aliskiren (active-controlled period)		8	420	196	224	53.4	10.78	30.3	5.89		210			All	0	placebo	cc_plac	C09AA05|C09XA02
ng	NCT00219063	18		Aliskiren (placebo-controlled period)		0	170	75	95	54.2	9.88	29.6	6.01		210			All	0	placebo	cc_plac	C09AA05|C09XA02
ng	NCT00219063	18		Placebo (subgroup aliskiren placebo-controlled period)		2	163	82	81	53.2	11.28	30.7	5.85		210			All	0	placebo	cc_plac	C09AA05|C09XA02
ng	NCT00219063	18		Placebo (subgroup ramipril placebo-controlled period)		0	177	67	110	53.1	11.1	32	6.98		210			All	0	placebo	cc_plac	C09AA05|C09XA02
ng	NCT00219063	18		Ramipril (active-controlled period)		6	422	166	256	53.1	11.21	31.4	6.79		210			All	0	placebo	cc_plac	C09AA05|C09XA02
ng	NCT00219063	18		Ramipril (placebo-controlled period)		1	165	64	101	52.9	11.3	30.5	6.41		210			All	0	placebo	cc_plac	C09AA05|C09XA02
ng	NCT00219063	18		Total		14	842	362	480	53.24964371	10.99761369	30.85130641	6.357018618	calculated	210			All	0	placebo	cc_plac	C09AA05|C09XA02
ng	NCT00219076	18		Aliskiren 150mg + Amlodipine 5mg	5		187	82	105	53	11.9	30	5.5		42			All	0	diff_class3	cc3	C09
ng	NCT00219076	18		Amlodipine 10mg	5		178	86	92	54	10.6	30	5.7		42			All	0	diff_class3	cc3	C09
ng	NCT00219076	18		Amlodipine 5mg	4		180	85	95	54	10.9	30	5.7		42			All	0	diff_class3	cc3	C09
ng	NCT00219076	18		Total	14		545	253	292	53.65688073	11.15921095	30	5.632165792	calculated	42			All	0	diff_class3	cc3	C09
ng	NCT00219089	18		Aliskiren		8	282	125	157	60	9.8	31.4	5.9		56			All	0	diff_class5	cc5	C09AA|C09XA
ng	NCT00219089	18		Aliskiren/Ramipril		4	277	109	168	59.5	10.2	31.3	6.1		56			All	0	diff_class5	cc5	C09AA|C09XA
ng	NCT00219089	18		Ramipril		6	278	112	166	59.9	11.2	30.3	5.3		56			All	0	diff_class5	cc5	C09AA|C09XA
ng	NCT00219089	18		Total		18	837	346	491	59.80131422	10.41404005	31.00155317	5.776876505	calculated	56			All	0	diff_class5	cc5	C09AA|C09XA
ng	NCT00219102	18		Aliskiren/Valsartan/Hydrochlorothiazide 300/160/25mg		3	184	85	99	56.8	8.62	33.13	5.735		84			All	0	diff_class5	cc5	C09XA
ng	NCT00219102	18		Placebo/Valsartan/Hydrochlorothiazide 160/25mg		3	179	82	97	57.2	8.56	33.02	6.326		84			All	0	diff_class5	cc5	C09XA
ng	NCT00219102	18		Total		6	363	167	196	56.99724518	8.590467886	33.07575758	6.033646266	calculated	84			All	0	diff_class5	cc5	C09XA
ng	NCT00219115	18		Aliskiren/HCTZ 300/25mg		2	122	62	60	53.1		34.8			84			All	0	diff_class3	cc3	C08|C09
ng	NCT00219115	18		Amlodipine/HCTZ 10/25mg		4	126	73	53	55.2		34.5			84			All	0	diff_class3	cc3	C08|C09
ng	NCT00219115	18		HCTZ 25mg		4	122	70	52	55.2		34			84			All	0	diff_class3	cc3	C08|C09
ng	NCT00219115	18		Irbesartan/HCTZ 300/25mg		3	119	71	48	53		34.3			84			All	0	diff_class3	cc3	C08|C09
ng	NCT00219115	18		Total		13	489	276	213	54.1406953		34.40143149		calculated	84			All	0	diff_class3	cc3	C08|C09
ng	NCT00219128	18		Aliskiren 150mg		1	172	65	107	52	10.1	29	6.2		70			All	0	placebo	cc_plac	C09XA02
ng	NCT00219128	18		Aliskiren 300mg		2	169	63	106	54	10.5	29	5.4		70			All	0	placebo	cc_plac	C09XA02
ng	NCT00219128	18		Aliskiren 600mg		1	166	69	97	53	11	30	5.9		70			All	0	placebo	cc_plac	C09XA02
ng	NCT00219128	18		Placebo		0	165	61	104	53	10.5	30	6		70			All	0	placebo	cc_plac	C09XA02
ng	NCT00219128	18		Total		4	672	258	414	52.99553571	10.52596661	29.49255952	5.883063329	calculated	70			All	0	placebo	cc_plac	C09XA02
ctg	NCT00219141	18	80	Aliskiren 300 mg	41	10	154	42	112	58.4	9.61				252	B1	E1	All	0	diff_class5	cc5	C09CA|C09XA
ctg	NCT00219141	18	80	Aliskiren/Losartan 300/100 mg	39	10	154	35	119	58.8	10.62				252	B3	E3	All	0	diff_class5	cc5	C09CA|C09XA
ctg	NCT00219141	18	80	Losartan 100 mg	44	13	152	35	117	59.2	11				252	B2	E2	All	0	diff_class5	cc5	C09CA|C09XA
ctg	NCT00219141	18	80	Total	124	33	460	112	348	58.8	10.41				252	B4	Total	All	0	diff_class5	cc5	C09CA|C09XA
ng	NCT00219154	18		Aliskiren		26	567	260	307	56.1	10.9	28.9	4.6		392			All	0	diff_class3	cc3	C03|C09
ng	NCT00219154	18		HCTZ		22	557	245	312	55.7	10.9	29.1	4.8		392			All	0	diff_class3	cc3	C03|C09
ng	NCT00219154	18		Total		48	1124	505	619	55.90177936	10.9	28.99911032	4.700172561	calculated	392			All	0	diff_class3	cc3	C03|C09
jo	NCT00219167	65		Total	110	2	355	212	143	73.5	5.78			jo	56			All	0	diff_class5	cc5	C09AA|C09XA
ng	NCT00219180	18		Aliskiren		8	437	182	255	51.9	10.4	30.6	5.8		56			All	0	placebo	cc_plac	C09CA03|C09XA02
ng	NCT00219180	18		Aliskiren/Valsartan		3	446	171	275	52.1	10.3	30.2	5.7		56			All	0	placebo	cc_plac	C09CA03|C09XA02
ng	NCT00219180	18		Placebo		5	459	178	281	52.6	10.4	30.4	5.6		56			All	0	placebo	cc_plac	C09CA03|C09XA02
ng	NCT00219180	18		Total		22	1797	705	1092	52.25503617	10.37527118	30.47495826	5.649231349	calculated	56			All	0	placebo	cc_plac	C09CA03|C09XA02
ng	NCT00219180	18		Valsartan		6	455	174	281	52.4	10.4	30.7	5.5		56			All	0	placebo	cc_plac	C09CA03|C09XA02
ng	NCT00219193	18		Aliskiren/HCTZ		1	166	74	92	52.3	10.9	31.3	6.28		84			All	0	diff_class3	cc3	C09
ng	NCT00219193	18		Aliskiren/Valsartan/HCTZ		0	168	77	91	52.9	10.83	31.9	6.21		84			All	0	diff_class3	cc3	C09
ng	NCT00219193	18		HCTZ		1	152	58	94	52.6	9.93	31.8	6.13		84			All	0	diff_class3	cc3	C09
ng	NCT00219193	18		Total		7	641	276	365	53.18127925	10.78504664	31.57581903	6.124290572	calculated	84			All	0	diff_class3	cc3	C09
ng	NCT00219193	18		Valsartan/HCTZ		5	155	67	88	55	11.4	31.3	5.85		84			All	0	diff_class3	cc3	C09
jo	NCT00220220	18		Total	105		538	275	263	56.8		29.1		jo	378			All	0	diff_class3	cc3	C08
ng	NCT00220233	18		Total		1	628	303	325	55.1	10.93	33.1	7.27	calculated	364			All	0	diff_class3	cc3	C09
ng	NCT00239369	18		Telmisartan/Hydrochlorothiazide 80/12.5mg		2.888	361	142	219	57.3	11.4	29.4	5.3		98			All	0	same_class7	sm7	C03AA03|C09CA07
ng	NCT00239369	18		Telmisartan/Hydrochlorothiazide 80/25mg		4.928	352	165	187	57.1	10.5	28.9	5.4		98			All	0	same_class7	sm7	C03AA03|C09CA07
ng	NCT00239369	18		Total		7.816	713	307	406	57.20126227	10.9649326	29.15315568	5.349600719	calculated	98			All	0	same_class7	sm7	C03AA03|C09CA07
ng	NCT00240448	18		Total		21	1109							reported	56			All	0	placebo	cc_plac	C09CA03|C09CA07
jo	NCT00240474	60		Total	475	37	872							jo	98			All	0	diff_class3	cc3	C08|C09
ng	NCT00260923	18		Aliskiren 150mg		2	161	56	105			30.3			98			All	0	placebo	cc_plac	C09XA02
ng	NCT00260923	18		Aliskiren 300mg		1	158	67	91			29.7			98			All	0	placebo	cc_plac	C09XA02
ng	NCT00260923	18		Aliskiren 75mg		1	153	57	96			30.5			98			All	0	placebo	cc_plac	C09XA02
ng	NCT00260923	18		Placebo		2	160	67	93			30.9			98			All	0	placebo	cc_plac	C09XA02
ng	NCT00260923	18		Total		6	632	247	385			30.35031646		calculated	98			All	0	placebo	cc_plac	C09XA02
jo	NCT00260923	18		Total	232	6	642	257	385			30.35	5.55	jo	56			All	0	placebo	cc_plac	C09XA02
ng	NCT00262236	18		Aliskiren		5	231	97	134	55.8	11.9	28.9	4.5		84			All	0	diff_class3	cc3	C07|C09
ng	NCT00262236	18		Aliskiren/Atenolol		2	232	112	120	55.2	10.9	29.5	5		84			All	0	diff_class3	cc3	C07|C09
ng	NCT00262236	18		Atenolol		7	231	118	113	54.7	11.5	29.2	5.1		84			All	0	diff_class3	cc3	C07|C09
ng	NCT00262236	18		Total		14	694	327	367	55.2332853	11.43995271	29.20043228	4.873924238	calculated	84			All	0	diff_class3	cc3	C07|C09
jo	NCT00264212	60	90	Total	109	11	392	274	118	72.1	6.55			jo	84			All	0	diff_class3	cc3	C08|C09
ng	NCT00273299	18	80	Total		1	608	261	347	51.6	10.8521796	31.30098684	6.8	calculated	70			All	0	diff_class3	cc3	C03
ng	NCT00273299	18	80	Valsartan		0	301	138	163	51.6	11.2	31.2	6.8		70			All	0	diff_class3	cc3	C03
ng	NCT00273299	18	80	Valsartan/HCTZ		1	307	123	184	51.6	10.5	31.4	6.8		70			All	0	diff_class3	cc3	C03
jo	NCT00274599	19		Total	223	22	812							jo	98			All	0	diff_class5	cc5	C09AA|C09CA
jo	NCT00274612	18		Total	315	13	801							jo	98			All	0	diff_class5	cc5	C09AA|C09CA
ng	NCT00277472	18		HCTZ		1	145	59	86	52.6	10.6	33	7.24		196			All	0	diff_class3	cc3	C09
ng	NCT00277472	18		Total		4	291	111	180	52.75051546	10.6	32.44810997	6.495485896	calculated	196			All	0	diff_class3	cc3	C09
ng	NCT00277472	18		Valsartan/HCTZ		3	146	52	94	52.9	10.6	31.9	5.66		196			All	0	diff_class3	cc3	C09
jo	NCT00280540	18		Total	335	13	652	298	354	52.6	10	32.4	6.7	jo	42			All	0	diff_class3	cc3	C03
ctg	NCT00281580	18		Amlodipine 10 mg (A10)	29	0	129	64	65	53.4	10.7				56	B16	E16	All	0	placebo	cc_plac	C08CA01|C09CA07
ctg	NCT00281580	18		Amlodipine 2.5 mg (A2.5)	3	1	50	23	27	55.3	10.4				56	B14	E14	All	0	placebo	cc_plac	C08CA01|C09CA07
ctg	NCT00281580	18		Amlodipine 5 mg (A5)	11	1	140	68	72	53.1	10.6				56	B15	E15	All	0	placebo	cc_plac	C08CA01|C09CA07
ctg	NCT00281580	18		PLACEBO	6	0	46	17	29	52.5	12.3				56	B1	E1	All	0	placebo	cc_plac	C08CA01|C09CA07
ctg	NCT00281580	18		Telmisartan 20 mg (T20)	5	0	42	16	26	53.6	10.4				56	B2	E2	All	0	placebo	cc_plac	C08CA01|C09CA07
ctg	NCT00281580	18		Telmisartan 20 mg Plus Amlodipine 10 mg (T20+A10)	6	0	44	18	26	51	11.2				56	B7	E5	All	0	placebo	cc_plac	C08CA01|C09CA07
ctg	NCT00281580	18		Telmisartan 20 mg Plus Amlodipine 2.5 mg (T20+A2.5)	4	0	44	18	26	54	10.8				56	B5	E3	All	0	placebo	cc_plac	C08CA01|C09CA07
ctg	NCT00281580	18		Telmisartan 20 mg Plus Amlodipine 5 mg (T20+A5)	5	0	46	25	21	54.4	10.2				56	B6	E4	All	0	placebo	cc_plac	C08CA01|C09CA07
ctg	NCT00281580	18		Telmisartan 40 mg (T40)	13	0	130	64	66	52	11				56	B3	E6	All	0	placebo	cc_plac	C08CA01|C09CA07
ctg	NCT00281580	18		Telmisartan 40 mg Plus Amlodipine 10 mg (T40+A10)	13	0	129	67	62	53.3	11.3				56	B10	E9	All	0	placebo	cc_plac	C08CA01|C09CA07
ctg	NCT00281580	18		Telmisartan 40 mg Plus Amlodipine 2.5 mg (T40+A2.5)	3	0	47	21	26	50.7	10.2				56	B8	E7	All	0	placebo	cc_plac	C08CA01|C09CA07
ctg	NCT00281580	18		Telmisartan 40 mg Plus Amlodipine 5 mg (T40+A5)	9	0	143	72	71	52.3	11.9				56	B9	E8	All	0	placebo	cc_plac	C08CA01|C09CA07
ctg	NCT00281580	18		Telmisartan 80 mg (T80)	6	1	135	75	60	53.1	11.3				56	B4	E10	All	0	placebo	cc_plac	C08CA01|C09CA07
ctg	NCT00281580	18		Telmisartan 80 mg Plus Amlodipine 10 mg (T80+A10)	23	0	142	78	64	53.9	11.6				56	B13	E13	All	0	placebo	cc_plac	C08CA01|C09CA07
ctg	NCT00281580	18		Telmisartan 80 mg Plus Amlodipine 2.5 mg (T80+A2.5)	3	2	48	26	22	54.8	9.7				56	B11	E11	All	0	placebo	cc_plac	C08CA01|C09CA07
ctg	NCT00281580	18		Telmisartan 80 mg Plus Amlodipine 5 mg (T80+A5)	12	2	146	72	74	52.7	11.9				56	B12	E12	All	0	placebo	cc_plac	C08CA01|C09CA07
ctg	NCT00281580	18		Total	151	7	1461	724	737	53.1	11.1				56	B17	Total	All	0	placebo	cc_plac	C08CA01|C09CA07
ng	NCT00294710	18	80	Aliskiren		26	567	260	307	56.1	10.9	28.9	4.6		392			All	0	diff_class3	cc3	C03|C09
ng	NCT00294710	18	80	HCTZ		22	557	245	312	55.7	10.9	29.1	4.8		392			All	0	diff_class3	cc3	C03|C09
ng	NCT00294710	18	80	Total		48	1124	505	619	55.90177936	10.9	28.99911032	4.700172561	calculated	392			All	0	diff_class3	cc3	C03|C09
ng	NCT00296218	18		Enalapril	295	43	217	0	217						56			All	0	diff_class5	cc5	C09AA|C09CA
ng	NCT00296218	18		Irbesartan	132	49	212	51	161						56			All	0	diff_class5	cc5	C09AA|C09CA
ng	NCT00296218	18		Total	427	92	429	51	378					calculated	56			All	0	diff_class5	cc5	C09AA|C09CA
ng	NCT00316095	18		Total		13	1695	759.36	935.64	56.1				reported	56			All	0	diff_class3	cc3	C09|C10
ng	NCT00327145	18		amlodipine 10mg/valsartan 160mg		13	451	240	211	58.6	12				112			All	0	same_class7	sm7	C08CA01|C09CA03
ng	NCT00327145	18		amlodipine 5mg/valsartan 160mg		3	443	211	232	58.5	12.3				112			All	0	same_class7	sm7	C08CA01|C09CA03
ng	NCT00327145	18		Total		16	894	451	443	58.55044743	12.14958063			calculated	112			All	0	same_class7	sm7	C08CA01|C09CA03
ng	NCT00343551	18		Aliskiren 300mg		1	218	81	137	53.5	10.71	28.9	4.4		63			All	0	diff_class5	cc5	C09AA|C09CA|C09XA
ng	NCT00343551	18		Irbesartan 300mg		4	222	80	142	53.4	9.69	29	4.56		63			All	0	diff_class5	cc5	C09AA|C09CA|C09XA
ng	NCT00343551	18		Ramipril 10mg		1	214	93	121	53.9	9.91	28.9	4.39		63			All	0	diff_class5	cc5	C09AA|C09CA|C09XA
ng	NCT00343551	18		Total		6	654	254	400	53.5969419	10.11152504	28.93394495	4.451731726	calculated	63			All	0	diff_class5	cc5	C09AA|C09CA|C09XA
ng	NCT00344110	20	75	Aliskiren 150mg		0	302	82	220	52	10.24	25.4	3.78		56			All	0	placebo	cc_plac	C09CA01|C09XA02
ng	NCT00344110	20	75	Losartan 50mg		1	303	82	221	52.1	10.25	25.9	3.64		56			All	0	placebo	cc_plac	C09CA01|C09XA02
ng	NCT00344110	20	75	Placebo		1	156	40	116	52.1	9.85	25.4	4.03		56			All	0	placebo	cc_plac	C09CA01|C09XA02
ng	NCT00344110	20	75	Total		2	761	204	557	52.06031537	10.16548432	25.59908016	3.778065967	calculated	56			All	0	placebo	cc_plac	C09CA01|C09XA02
ng	NCT00350168	18		Amlodipine		0	324	165	159	58.1	10.44	30.3	5.7		56			All	0	diff_class3	cc3	C09
ng	NCT00350168	18		Total		3	646	322	324	58.1	10.34079409	29.95108359	5.562196938	calculated	56			All	0	diff_class3	cc3	C09
ng	NCT00350168	18		Valsartan/Amlodipine		3	322	157	165	58.1	10.24	29.6	5.42		56			All	0	diff_class3	cc3	C09
ng	NCT00353912	18		Amlodipine		3	286	178	108	53.6	11.79				84			All	0	diff_class3	cc3	C09
ng	NCT00353912	18		Total		6	572	344	228	53.25	11.01445641			calculated	84			All	0	diff_class3	cc3	C09
ng	NCT00353912	18		Valsartan/Amlodipine		3	286	166	120	52.9	10.18				84			All	0	diff_class3	cc3	C09
ctg	NCT00368277	65		Aliskiren	205	35	452	235	222	72	5.56				252	B1	E1	All	0	diff_class5	cc5	C09AA|C09XA
ctg	NCT00368277	65		Ramipril	208	27	444	237	207	72.2	5.62				252	B2	E2	All	0	diff_class5	cc5	C09AA|C09XA
jo	NCT00368277	65		Total	664	62	901	472	429	72.1	5.59			jo	252			All	0	diff_class5	cc5	C09AA|C09XA
ctg	NCT00368277	65		Total	413	62	896	472	429	72.1	5.58				252	B3	Total	All	0	diff_class5	cc5	C09AA|C09XA
ng	NCT00385931	50		Total		3	404	192	212	63.48886139	8.299547805			calculated	126			All	0	diff_class3	cc3	C10
ng	NCT00385931	50		Valsartan 160mg		1	137	66	71	62.9	8.1				126			All	0	diff_class3	cc3	C10
ng	NCT00385931	50		Valsartan 160mg + Simvastatin 20mg		1	135	66	69	63	8.2				126			All	0	diff_class3	cc3	C10
ng	NCT00385931	50		Valsartan 160mg + Simvastatin 80mg		1	132	60	72	64.6	8.6				126			All	0	diff_class3	cc3	C10
ng	NCT00386139	18		Aliskiren 300mg		4	298	139	159	55.5	10.6	29.2	4.53		56			All	0	diff_class3	cc3	C03
ng	NCT00386139	18		Aliskiren/HCTZ 300/12.5mg		2	293	138	155	54.9	10.49	29.2	4.92		56			All	0	diff_class3	cc3	C03
ng	NCT00386139	18		Aliskiren/HCTZ 300/25mg		3	289	117	172	54.4	10.25	28.9	4.55		56			All	0	diff_class3	cc3	C03
ng	NCT00386139	18		Total		9	880	394	486	54.93897727	10.44945641	29.10147727	4.669864584	calculated	56			All	0	diff_class3	cc3	C03
ng	NCT00387517	18		Aliskiren/HCTZ 150/25mg		1	244	100	144	53.6	11.11	28.9	4.71		56			All	0	diff_class3	cc3	C09
ng	NCT00387517	18		Aliskiren/HCTZ 300/25mg		1	232	92	140	54.1	9.45	29.9	5		56			All	0	diff_class3	cc3	C09
ng	NCT00387517	18		HCTZ 25mg		0	246	103	143	52.9	11.49	29.7	4.99		56			All	0	diff_class3	cc3	C09
ng	NCT00387517	18		Total		2	722	295	427	53.52216066	10.74212862	29.49390582	4.90043579	calculated	56			All	0	diff_class3	cc3	C09
ng	NCT00400777	18		Total		2	264	192	72	56.54		30.9		reported	119			All	0	diff_class3	cc3	C08
ng	NCT00409643	18		Amlodipine 10mg	35	1	207	93	114	55.4					56			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409643	18		Placebo	13	3	209	116	93	58					56			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409643	18		Total	142	9	1250	621	629	56.93704				calculated	56			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409643	18		Valsartan 160mg	14	1	207	115	92	56.8					56			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409643	18		Valsartan 320mg	12	1	208	100	108	56.7					56			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409643	18		Valsartan/Amlodipine 160/10mg	39	1	209	100	109	56.7					56			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409643	18		Valsartan/Amlodipine 320/10mg	29	2	210	97	113	58					56			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409760	18		Amlodipine 2.5mg		1	126	60	66	54.4					84			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409760	18		Amlodipine 5mg		1	128	60	68	53.8					84			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409760	18		Placebo		1	128	58	70	53.7					84			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409760	18		Total		8	1150	526	624	54.47886957				reported	84			All	0	placebo	cc_plac	C08CA01|C09CA03
ng	NCT00409760	18		Valsartan 160mg		1	128	59	69	53					84			All	0	placebo	cc_plac	C08CA01|C09CA03
