nct_id,official_title,first_received_date,in_jo,baseline_res,sae_res,source,csr_status
NCT00296218,Randomized Comparison of a Two-month Regimen of Irbesartan Versus Enalapril on Cardiovascular Markers in Patients With Acute Coronary Syndrome Without ST Segment Elevation.,2006-02-22,FALSE,FALSE,FALSE,Sanofi,Got CSR summary
NCT00311740,"A Multi-center, Factorial Study to Evaluate Efficacy & Safety of 8 Wks Treatment With VAH631 [Valsartan (40 & 80 mg) and Hydrochlorothiazide (6.25 & 12.5 mg) Combined & Alone in Essential Hypertensive Patients] - Double-blind Study of VAH631 in Patients With Essential Hypertension (Factorial Study)",2006-04-04,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00316095,"Reduced Factorial Design, Randomized, Double Blind Trial Comparing Combinations of Telmisartan 20 or 80 mg and Simvastatin 20 or 40 mg With Single Component Therapies in the Treatment of Hypertension and Dyslipidemia",2006-04-19,FALSE,FALSE,FALSE,Boehringer Ingelheim,Got CSR summary
NCT00327145,"A Double-blind, Randomized, Multicenter Study to Evaluate the Effectiveness of the Combination of Valsartan & Amlodipine in Hypertensive Patients Not Controlled on Monotherapy",2006-05-16,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00333489,"A National, Multicentric and Comparative Study to Evaluate Efficacy and Tolerability of the Association of Valsartan and Amlodipine Versus Amlodipine Alone in the Treatment of Essential Arterial Hypertension - Stages I and II (Mild to Moderate).",2006-06-01,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00343551,"A Nine-week, Randomized, Double-blind, Parallel Group Study to Evaluate the Efficacy and Safety of Aliskiren 300 mg Compared to Irbesartan 300 mg and Ramipril 10 mg in the Setting of a Missed Dose in Patients With Essential Hypertension",2006-06-22,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00344110,"A Randomized, Double-blind, Placebo and Active-controlled, Multicenter, Parallel-group Study Comparing SPP100 (Aliskiren) 150mg to Placebo and to Losartan 50mg to Evaluate Efficacy, Safety and Pharmacokinetics in Patients With Mild to Moderate Essential Hypertension",2006-06-22,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00350168,An 8-week Multicenter Study to Evaluate the Efficacy and Safety of Orally Administered Valsartan/Amlodipine Combination Based Therapy Versus Amlodipine Monotherapy in Patients With Stage II Hypertension,2006-07-07,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00353912,"A 12-week, Multicenter Study to Evaluate the Efficacy and Safety of Orally Administered Valsartan/Amlodipine Combo Based Therapy vs Amlodipine Monotherapy in Black Patients With Stage II Hypertension",2006-07-17,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00368277,"A 36 Week Randomized, Double-blind, Parallel Group, Multi-center, Active-controlled, Optional Titration Study Comparing an Aliskiren-based Regimen to a Ramipril-based Regimen in Patients â‰¥ 65 Years Old With Systolic Essential Hypertension",2006-08-22,TRUE,TRUE,TRUE,NA,extracted_jo
NCT00385931,"A Multi-centre Study to Evaluate the Effects of Valsartan and the Combination of Valsartan and Simvastatin on Blood Pressure (Ambulatory and Std Cuff) and on Biochemical Markers of Endothelial Function (hsCRP, MCP-1, Serum F2 Isoprostanes, PAI-1, tPA, PICP, PIIINP, MMP9, MMP1, TIMP 1), Safety and Tolerability",2006-10-09,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00386139,An Eight-week Multicenter Study to Evaluate the Efficacy and Safety of the Combination of Aliskiren / HCTZ (300/12.5 mg and 300/25 mg) in Comparison With Aliskiren 300 mg in Patients With Essential Hypertension Not Adequately Responsive to Aliskiren 300 mg Monotherapy,2006-10-09,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00387517,An Eight-week Multicenter Study to Evaluate the Efficacy and Safety of the Combination of Aliskiren / HCTZ (150/25 mg and 300/25 mg) in Comparison With HCTZ 25 mg in Patients With Essential Hypertension Not Adequately Responsive to HCTZ 25 mg Monotherapy,2006-10-11,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00400777,"An Open-Label, Randomized, Multicenter Study to Evaluate the Efficacy of the Combination of Valsartan and Hydrochlorothiazide and Amlodipine in Hypertensive Patients Not Controlled With Valsartan and Hydrochlorothiazide",2006-11-15,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00409643,"A Randomized, Double-blind, Multicenter, Multifactorial, Placebo-controlled, Parallel Group Study to Evaluate the Efficacy and Safety of Valsartan (160 mg and 320 mg) and Amlodipine (10 mg) Combined and Alone in Hypertensive Patients",2006-12-07,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00409760,"A Randomized, Double-blind, Multicenter, Multifactorial, Placebo-controlled, Parallel Group Study to Evaluate the Efficacy and Safety of Valsartan and Amlodipine Combined and Alone in Hypertensive Patients.",2006-12-07,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00409851,"A 52 Week, Open Label Extension to the Randomized, Double-blind, Multicenter, Multifactorial, Placebo-controlled, Parallel Group Study to Evaluate the Efficacy and Safety of Valsartan and Amlodipine Combined and Alone in Hypertensive Patients.",2006-12-07,FALSE,FALSE,FALSE,Novartis,Got CSR summary
NCT00413049,"A Multi-national, Multicenter, Double-blind, Double-dummy, Randomized, Active-controlled, Parallel Study Comparing the Efficacy and Safety of Valsartan/Amlodipine 80/5 mg to Amlodipine 5 mg Alone Once Daily in Patients With Mild to Moderate Essential Hypertension Not Adequately Controlled With Amlodipine 5 mg Monotherapy",2006-12-18,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00413413,"A Multi-national, Multicenter, Double-blind, Double-dummy, Randomized, Active-controled, Parallel Study, Comparing Efficacy and Safety of Valsartan/Amlodipine 80/5 mg to Valsartan 80 mg and Valsartan 160 mg Alone Once Daily in Patients With Mild to Moderate Essential Hypertension Not Adequately Controlled With Valsartan 80 mg Monotherapy.",2006-12-18,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00425373,"A Multi-center, Randomized, Double-blind, Parallel-group, Placebo-controlled, Factorial Study to Evaluate the Efficacy and Safety of 8-week Treatment With Valsartan (40 and 80 mg) and Amlodipine (2.5 and 5 mg) Combined and Alone in Essential Hypertensive Patients",2007-01-22,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00425997,"A 10-week Multicenter,Forced-titration Study Using 24-hr ABPM to Evaluate the Efficacy of Valsartan/Hydrochlorothiazide (HCTZ) Treatment Regimen vs Conventional Treatment Regimen With Amlodipine and Hydrochlorothiazide (HCTZ) in Patients With Stage 2 Hypertension",2007-01-23,TRUE,FALSE,FALSE,Novartis,extracted_jo
NCT00439738,"A 16-week Double-blind, Randomized, Multicenter, Force-titration Study to Evaluate the Antihypertensive Efficacy of Valsartan/Hydrochlorothiazide (HCTZ) Therapy Compared to HCTZ Based Therapy in Obese, Hypertensive Patients",2007-02-23,FALSE,TRUE,FALSE,Novartis,Got CSR summary
NCT00454662,Combination of OLMesartan and Calcium Channel Blocker or Low Dose Diuretics in High Risk Elderly Hypertensive Patients Study (COLM-Study),2007-03-30,TRUE,FALSE,FALSE,NA,extracted_jo
NCT00500604,A Comparative Study of the Efficacy of Irbesartan/Hydrochlorothiazide 300/25 mg Versus Valsartan/Hydrochlorothiazide 160/25 mg Using Home Blood Pressure Monitoring in the Treatment of Mild to Moderate Hypertension,2007-07-11,TRUE,FALSE,FALSE,Sanofi,extracted_jo
NCT00529451,"An Eight Week, Double-blind, Randomized, Multicenter, Parallel Group, Active-controlled Study Comparing the Safety and Efficacy of Aliskiren 300 mg, 150 mg and 75 mg to Ramipril 5 mg in Patients With Essential Hypertension",2007-09-12,TRUE,TRUE,TRUE,NA,extracted_jo
NCT00538486,"Which is the Best Treatment for Non-diabetic Hypertension With Obesity: Telmisartan, Amlodipine or Candesartan, Alone or Plus MEtformin? (HOT-ACME 1)",2007-10-01,FALSE,FALSE,FALSE,Third Military Medical University,Not searched
NCT00553267,"An Eight-week Randomised, Double-blind Study to Compare the Fixed-dose Combination of Telmisartan 40mg + Amlodipine 10mg Versus Telmisartan 80mg + Amlodipine 10mg Versus Amlodipine 10mg Monotherapy in Patients With Hypertension Who Fail to Respond Adequately to Treatment With Amlodipine 10mg Monotherapy",2007-10-08,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00546754,"BP-EASE-A 12-Week, Multicenter, Open-Label, Randomized, Controlled Trial To Compare The Effectiveness of Losartan 50 mg/HCTZ 12.5 mg Titrated as Needed to Losartan 100 mg/HCTZ 25 mg or Valsartan 160 mg/HCTZ 25 mg, in Patients With Essential Hypertension Who Have Not Achieved Target Blood Pressure With",2007-10-17,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00550953,Filtered Trial for Telmisartan 40mg Non-responder,2007-10-26,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00558064,Filtered Trial for Amlodipine Non-responder,2007-10-29,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00558428,"An Eight-week Randomized, 4-arm, Double-blind Study to Compare the Efficacy and Safety of Combinations of Telmisartan 40mg + Amlodipine 5mg Versus Telmisartan 80mg + Amlodipine 5mg Versus Amlodipine 5mg Versus Amlodipine 10mg Monotherapy in Patients With Hypertension Who Fail to Respond Adequately to Treatment With Amlodipine 5mg Monotherapy",2007-10-29,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00591578,"A Double-Blind, Randomized, Parallel-Group Study to Compare the Efficacy and Safety of TAK-491 With Valsartan in Subjects With Essential Hypertension",2007-12-27,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00614380,An Open Label Follow-up Trial of the Efficacy and Safety of Chronic Administration of the Combination of Telmisartan 40mg + Amlodipine 5mg or the Combination of Telmisartan 80mg + Amlodipine 5mg Tablets Alone or in Combination With Other Antihypertensive Medications in Patients With Hypertension.,2008-01-28,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00624052,An Open Label Trial of the Efficacy and Safety of Chronic Administration of the Fixed Dose Combination of Telmisartan 40mg + Amlodipine 10mg or Fixed Dose Combination of Telmisartan 80mg + Amlodipine 10mg Tablets Alone or in Combination With Other Antihypertensive Medications in Patients With Hypertension,2008-02-05,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00631917,"A 54 Week, Randomized, Double-blind, Parallel-group, Multicenter Study Evaluating the Long-term Gastrointestinal (GI) Safety and Tolerability of Aliskiren (300 mg) Compared to Ramipril (10 mg) in Patients With Essential Hypertension",2008-03-03,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00687973,Effect of the Fixed Dose Combination Amlodipine/Valsartan on Central Aortic Blood Pressure in Uncontrolled Essential Hypertension With Amlodipine 5 mg,2008-03-20,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00649389,"A Randomized, Double-Blind, Parallel Group Study Evaluating the Efficacy and Safety of Co-Administration of a Triple Combination Therapy of Olmesartan Medoxomil, Amlodipine Besylate and Hydrochlorothiazide in Subjects With Hypertension",2008-03-28,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00699192,"A Multicenter, Double-blind, Randomized, Parallel-group Study to Evaluate the Safety, Tolerability, and Efficacy of Once Daily Amlodipine/Valsartan 5/80 mg as Compared to Amlodipine/Valsartan 5/40 mg or to Amlodipine 5 mg Once Daily in Elderly Patients With Essential Hypertension Not Adequately Controlled After Four Weeks on Amlodipine 5 mg Once Daily",2008-06-09,TRUE,TRUE,TRUE,NA,extracted_jo
NCT00696241,"A Phase 3, Double-Blind, Randomized, Placebo-Controlled Study to Evaluate the Efficacy and Safety of TAK-491 in Subjects With Essential Hypertension",2008-06-10,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
NCT00696436,"A Double-Blind, Randomized, Placebo-Controlled, 5-Arm Titration Study to Evaluate the Efficacy and Safety of TAK-491 When Compared With Valsartan and Olmesartan in Subjects With Essential Hypertension",2008-06-10,FALSE,TRUE,TRUE,NA,"Not reqd, in clinicaltrials.gov"
