nct_id	tru	inclusion_exclusion	negated	criteria_sentences	essential_secondary
NCT00296218	TRUE	Inclusion	FALSE	patient hospitalised with ischemic symptoms ( last episode within the last 48 hours before randomization ) and at least one of the following characteristics of nsteacs ( non-st-segment-elevation acute coronary syndromes ) :	
NCT00296218	TRUE	Inclusion	FALSE	ecg st or t changes ( st depression or transient elevation of at least 1 mm or t wave changes in at least 2 leads )	
NCT00296218	TRUE	Inclusion	FALSE	positive troponin ( according to local threshold )	
NCT00296218	TRUE	Exclusion	FALSE	women of child bearing potential who are unwilling or unable to use an acceptable method to avoid pregnancy for the entire study period and for up to 4 weeks after the study wocbp using a prohibited contraceptive method ( not applicable )	
NCT00296218	TRUE	Exclusion	FALSE	women who are pregnant or breast feeding	
NCT00296218	TRUE	Exclusion	FALSE	women with a positive pregnancy test on enrolment or prior to study drug administration	
NCT00296218	TRUE	Exclusion	FALSE	patient with dementia	
NCT00296218	TRUE	Exclusion	FALSE	persistent st segment elevation at ecg	
NCT00296218	TRUE	Exclusion	FALSE	systolic blood pressure < 100 mmhg	
NCT00296218	TRUE	Exclusion	FALSE	bilateral stenosis of renal artery	
NCT00296218	TRUE	Exclusion	FALSE	creatinine clearance < or = 30 ml / mn	
NCT00296218	TRUE	Exclusion	FALSE	congestive heart failure with symptoms consistent with new york heart association ( nyha ) class iii or class iv .	
NCT00296218	TRUE	Exclusion	FALSE	aortic valve stenosis or mitral valve stenosis	
NCT00296218	TRUE	Exclusion	FALSE	hypertrophic cardiomyopathy	
NCT00296218	TRUE	Exclusion	FALSE	connective tissue disease with vascular involvement	
NCT00296218	TRUE	Exclusion	FALSE	angioplasty ; surgery or trauma within the last 3 months	
NCT00296218	TRUE	Exclusion	FALSE	coronarography or angioplasty planned to be performed or performed before baseline sampling	
NCT00296218	TRUE	Exclusion	FALSE	febrile ( > = 38 c ) disease ; known concomitant viral infection or bacterial infection ; chronic auto immune disease ; chronic inflammatory disease ; known cancer in evolution	
NCT00296218	TRUE	Exclusion	FALSE	hyperkalemia : serum potassium > 5.5 mmol / l	
NCT00296218	TRUE	Exclusion	FALSE	sensitivity or intolerance to angiotensin receptor blockers ( arbs ) : olmesartan ; candesartan ; irbesartan ; eprosartan ; losartan ; telmisartan ; valsartan or any other arb currently or previously in development .	
NCT00296218	TRUE	Exclusion	FALSE	sensitivity or intolerance to angiotensin-converting enzyme inhibitors ( ace : benazepril ; captopril ; enalapril ; lisinopril ; trandolapril ; ramipril ; quinapril ; or any other ace-i currently or previously in development .	
NCT00296218	TRUE	Exclusion	FALSE	chronic steroid or non-steroidal anti inflammatory drugs ( nsaids ) use	
NCT00296218	TRUE	Exclusion	FALSE	aspirin is permitted .	
NCT00296218	TRUE	Exclusion	FALSE	treatment with allopurinol or proca namide	
NCT00296218	TRUE	Exclusion	FALSE	concomitant use of potassium sparing diuretics ( eg ; spironolactone ; triamterene or amiloride ) ; potassium preparations or salt substitutes containing potassium	
NCT00296218	TRUE	Exclusion	FALSE	treatment with lithium	
NCT00296218	TRUE	Exclusion	NA	immunosupressive medication	
NCT00296218	TRUE	Exclusion	FALSE	administration of any other investigational drug in the last 30 days before enrolment and during the course of the study	
NCT00296218	TRUE	Exclusion	FALSE	treatment with arb or ace inhibitor within the last 3 days	
NCT00343551	FALSE	Inclusion	FALSE	outpatients 18 years of age and older .	unrecorded
NCT00343551	TRUE	Inclusion	FALSE	at visit 2 : office mean sitting diastolic blood pressure > = 90 mmhg and < 110 mmhg at visit 3 : office mean sitting diastolic blood pressure > = 95 mmhg and < 110 mmhg before application of ambulatory blood pressure measurement device at visit 3 : 24 - hr mean ambulatory diastolic blood pressure > = 85 mmhg	
NCT00343551	TRUE	Inclusion	FALSE	patient must have an absolute difference of < = 10 mmhg in their office mean sitting diastolic blood pressure between visit 2 and 3 .	
NCT00343551	TRUE	Inclusion	FALSE	male or female patients are eligible	
NCT00343551	TRUE	Inclusion	FALSE	female patients must be either post-menopausal for at least one year ; surgically sterile or using effective contraceptive methods such as oral contraceptives ; barrier method with spermicide or an intrauterine device	
NCT00343551	TRUE	Inclusion	FALSE	reliable contraception should be maintained throughout the study and for 7 days after study drug discontinuation .	
NCT00343551	TRUE	Inclusion	FALSE	patients who are eligible and able to participate in the study ; and who consent to do so after the purpose and nature of the investigation has been clearly explained to them ( written informed consent ) .	
NCT00343551	TRUE	Exclusion	FALSE	severe hypertension [ office mean sitting diastolic blood pressure > = 110 mmhg or office mean sitting systolic blood pressure ( mssbp ) > = 180 mmhg ] .	
NCT00343551	TRUE	Exclusion	FALSE	current diagnosis of heart failure ( nyha class ii- .	
NCT00343551	TRUE	Exclusion	FALSE	history of myocardial infarction ; coronary bypass surgery ; or any percutaneous coronary intervention ( pci ) during the 12 months prior to visit 1 .	
NCT00343551	TRUE	Exclusion	FALSE	known or suspected contraindications to the study medications ; including history of allergy to ace-inhibitors or arbs .	
NCT00343551	TRUE	Exclusion	FALSE	upper arm circumference > 42 cm .	
NCT00343551	TRUE	Exclusion	FALSE	third shift or night workers .	
NCT00343551	TRUE	Exclusion	FALSE	other protocol-defined inclusion / may apply	
NCT00343551	TRUE	Inclusion	FALSE	patients must meet following blood pressure criteria :	
NCT00350168	FALSE	Inclusion	NA	18 years of age or older .	unrecorded
NCT00350168	TRUE	Inclusion	FALSE	moderate to severe high blood pressure	
NCT00350168	TRUE	Inclusion	FALSE	this is defined as a systolic pressure ( the top number ) greater than or equal to 160 mmhg and less than 200 mmhg .	
NCT00350168	TRUE	Exclusion	FALSE	history of allergy or hypersensitivity to arbs ; ccbs ; thiazide diuretics	
NCT00350168	TRUE	Exclusion	FALSE	inability to stop all prior blood pressure medications safely	
NCT00350168	TRUE	Exclusion	FALSE	systolic bp > = 200 mmhg or diastolic bp > = 120 mmhg	
NCT00350168	TRUE	Exclusion	FALSE	controlled blood pressure ( systolic bp < 140 mmhg ) taking more than 3 antihypertensive medications at screening	
NCT00350168	TRUE	Exclusion	FALSE	systolic bp > = 140 mmhg and < 180 mmhg taking more than two antihypertensive medications at screening	
NCT00350168	TRUE	Exclusion	FALSE	systolic bp > = 180 mmhg taking more than one antihypertensive medication at screening	
NCT00350168	TRUE	Exclusion	FALSE	history of stroke ; angioplasty ; coronary artery bypass graft surgery ; heart attack or unstable angina	
NCT00350168	TRUE	Exclusion	FALSE	type 1 diabetes	
NCT00350168	TRUE	Exclusion	FALSE	poorly controlled type 2 diabetes	
NCT00350168	TRUE	Exclusion	FALSE	history of heart failure	
NCT00350168	TRUE	Exclusion	FALSE	arrhythmia	
NCT00350168	TRUE	Exclusion	FALSE	significant valvular heart disease	
NCT00350168	TRUE	Exclusion	FALSE	active gout	
NCT00350168	TRUE	Exclusion	FALSE	history of autoimmune diseases	
NCT00350168	TRUE	Exclusion	FALSE	history of multiple drug allergies	
NCT00350168	TRUE	Exclusion	FALSE	liver disease	
NCT00350168	TRUE	Exclusion	FALSE	pancreatic injury within 1 year of screening	
NCT00350168	TRUE	Exclusion	FALSE	evidence of kidney impairment or history of dialysis	
NCT00350168	TRUE	Exclusion	FALSE	any surgical condition or medical condition which might alter the absorption ; distribution ; metabolism ; or excretion of any drug	
NCT00350168	TRUE	Exclusion	FALSE	this could include currently active gastritis ; ulcers ; or gastrointestinal / rectal bleeding ; or urinary tract obstruction .	
NCT00350168	TRUE	Exclusion	FALSE	women of child-bearing potential ( wocbp ) ; defined as all women physiologically capable of becoming pregnant ; would be excluded unless they are post-menopausal ; surgically sterile or are using acceptable methods of contraception	
NCT00350168	TRUE	Exclusion	NA	the use of hormonal contraceptives is not allowed	
NCT00350168	TRUE	Exclusion	FALSE	pregnant or nursing ( lactating ) women	
NCT00350168	TRUE	Exclusion	FALSE	history of malignancy of any organ system within the past five years	
NCT00350168	TRUE	Exclusion	FALSE	any severe disease ; life-threatening disease within the past five years	
NCT00350168	TRUE	Exclusion	FALSE	history of drug or alcohol abuse within the last 2 years .	
NCT00350168	TRUE	Exclusion	FALSE	other protocol-defined inclusion / may apply	
NCT00353912	FALSE	Inclusion	NA	18 years of age or older .	unrecorded
NCT00353912	TRUE	Inclusion	FALSE	moderate to severe high blood pressure	
NCT00353912	TRUE	Inclusion	FALSE	this is defined as a systolic pressure ( the top number ) greater than or equal to 160 mmhg and less than 200 mmhg .	
NCT00353912	TRUE	Exclusion	FALSE	history of allergy or hypersensitivity to arbs ; ccbs ; thiazide diuretics	
NCT00353912	TRUE	Exclusion	FALSE	inability to stop all prior blood pressure medications safely	
NCT00353912	TRUE	Exclusion	FALSE	systolic bp > = 200 mmhg or diastolic bp > = 120 mmhg	
NCT00353912	TRUE	Exclusion	FALSE	controlled blood pressure ( systolic bp < 140 mmhg ) taking more than 3 antihypertensive medications at screening	
NCT00353912	TRUE	Exclusion	FALSE	systolic bp > = 140 mmhg and < 180 mmhg taking more than two antihypertensive medications at screening	
NCT00353912	TRUE	Exclusion	FALSE	systolic bp > = 180 mmhg taking more than one antihypertensive medication at screening	
NCT00353912	TRUE	Exclusion	FALSE	history of autoimmune diseases	
NCT00353912	TRUE	Exclusion	FALSE	history of multiple drug allergies	
NCT00353912	TRUE	Exclusion	FALSE	liver disease	
NCT00353912	TRUE	Exclusion	FALSE	pancreatic injury within 1 year of screening	
NCT00353912	TRUE	Exclusion	FALSE	evidence of kidney impairment or history of dialysis	
NCT00353912	TRUE	Exclusion	FALSE	any surgical condition or medical condition which might alter the absorption ; distribution ; metabolism ; or excretion of any drug	
NCT00353912	TRUE	Exclusion	FALSE	this could include currently active gastritis ; ulcers ; or gastrointestinal / rectal bleeding ; or urinary tract obstruction .	
NCT00353912	TRUE	Exclusion	FALSE	women of child-bearing potential ( wocbp ) ; defined as all women physiologically capable of becoming pregnant ; would be excluded unless they are post-menopausal ; surgically sterile or are using acceptable methods of contraception	
NCT00353912	TRUE	Exclusion	NA	the use of hormonal contraceptives is not allowed	
NCT00353912	TRUE	Exclusion	FALSE	pregnant or nursing ( lactating ) women	
NCT00353912	TRUE	Exclusion	FALSE	history of malignancy of any organ system within the past five years	
NCT00353912	TRUE	Exclusion	FALSE	any severe disease ; life-threatening disease within the past five years	
NCT00353912	TRUE	Exclusion	FALSE	history of drug or alcohol abuse within the last 2 years .	
NCT00353912	TRUE	Exclusion	FALSE	history of stroke ; angioplasty ; coronary artery bypass graft surgery ; heart attack or unstable angina	
NCT00353912	TRUE	Exclusion	FALSE	type 1 diabetes	
NCT00353912	TRUE	Exclusion	FALSE	poorly controlled type 2 diabetes	
NCT00353912	TRUE	Exclusion	FALSE	history of heart failure	
NCT00353912	TRUE	Exclusion	FALSE	arrhythmia	
NCT00353912	TRUE	Exclusion	FALSE	significant valvular heart disease	
NCT00353912	TRUE	Exclusion	FALSE	active gout	
NCT00353912	TRUE	Exclusion	FALSE	other protocol-defined inclusion / may apply	
NCT00386139	FALSE	Inclusion	FALSE	male or female outpatients 18 years old or older .	unrecorded
NCT00386139	TRUE	Inclusion	FALSE	patients with a diagnosis of hypertension .	
NCT00386139	TRUE	Inclusion	NA	patients who are eligible and consent to participate in the study	
NCT00386139	TRUE	Exclusion	FALSE	severe hypertension	
NCT00386139	TRUE	Exclusion	FALSE	previous diagnosis or current diagnosis of heart failure .	
NCT00386139	TRUE	Exclusion	FALSE	history of hypertensive encephalopathy accident or cerebrovascular accident ; transient ischemic cerebral attack ( tia ) ; myocardial infarction ; coronary bypass surgery ; or any percutaneous coronary intervention ( pci ) .	
NCT00386139	TRUE	Exclusion	FALSE	other protocol-defined inclusion / may apply	
NCT00387517	FALSE	Inclusion	FALSE	male or female outpatients 18 years old or older .	unrecorded
NCT00387517	TRUE	Inclusion	FALSE	patients with a diagnosis of hypertension defined as follows :	
NCT00387517	TRUE	Inclusion	TRUE	newly diagnosed patients or patients who have not been treated for hypertension within the 4 weeks prior to visit 1 must have a msdbp > = mmhg and < 110 mmhg at visit 1 .	
NCT00387517	TRUE	Inclusion	FALSE	all patients who have been treated for hypertension within the 4 weeks prior to visit 1 must have a msdbp > = 85 mmhg and < 110 mmhg at visit 2 .	
NCT00387517	TRUE	Inclusion	NA	all patients must have a msdbp > = 90 mmhg and < 110 mmhg at visit 5 .	
NCT00387517	TRUE	Inclusion	NA	patients who are eligible and consent to participate in the study	
NCT00387517	TRUE	Exclusion	FALSE	severe hypertension ( msdbp > = 110 mmhg or mssbp > = 180 mmhg ) .	
NCT00387517	TRUE	Exclusion	FALSE	previous diagnosis or current diagnosis of heart failure .	
NCT00387517	TRUE	Exclusion	FALSE	history of hypertensive encephalopathy accident or cerebrovascular accident ; transient ischemic cerebral attack ; myocardial infarction ; coronary bypass surgery ; or any percutaneous coronary intervention .	
NCT00387517	TRUE	Exclusion	FALSE	other protocol-defined inclusion / may apply	
NCT00409851	FALSE	Inclusion	FALSE	successful completion of vaa489a2201 core trial	unrecorded
NCT00409851	TRUE	Inclusion	FALSE	visit 7 blood pressure must be msdbp < = 95 mmhg and mssbp < = 150 mmhg	
NCT00409851	TRUE	Exclusion	FALSE	patients who experienced any adverse events considered serious and drug related in vaa489a2201 core	
NCT00409851	TRUE	Exclusion	FALSE	other protocol-defined may apply	
NCT00439738	FALSE	Inclusion	NA	40 years of age or older	unrecorded
NCT00439738	TRUE	Inclusion	FALSE	moderate high blood or severe high blood pressure defined as systolic blood pressure ( the top number ) greater than or equal to 150 mmhg and diastolic blood pressure ( the bottom number ) less then 110 mmhg	
NCT00439738	TRUE	Inclusion	FALSE	central ( abdominal ) obesity	
NCT00439738	TRUE	Exclusion	FALSE	systolic blood pressure ( the top number ) greater than or equal to 180 mmhg blood pressure and diastolic blood pressure ( the bottom number ) greater than or equal to 110 mmhg	
NCT00439738	TRUE	Exclusion	FALSE	currently taking more then 3 medications to treat high blood pressure	
NCT00439738	TRUE	Exclusion	FALSE	inability to stop all current blood pressure medications if any up to 4 weeks	
NCT00439738	TRUE	Exclusion	FALSE	history of type 1 diabetes or type 2 diabetes	
NCT00439738	TRUE	Exclusion	FALSE	history of stroke ; mini-stroke ( transient ischemic attack ) or heart attack within the last 6 months	
NCT00439738	TRUE	Exclusion	FALSE	history of or current diagnosis of congestive heart failure	
NCT00439738	TRUE	Exclusion	TRUE	history of cancer within the past 5 years with the exception of localized basal cell carcinoma or squamous cell carcinoma	
NCT00439738	TRUE	Exclusion	FALSE	history of cancer within the past 5 years with the exception of localized basal cell carcinoma or squamous cell carcinoma	
NCT00439738	TRUE	Exclusion	FALSE	women who are pregnant or nursing	
NCT00439738	TRUE	Exclusion	FALSE	alcohol or drug abuse within the last 2 years	
NCT00439738	TRUE	Exclusion	FALSE	other protocol-defined inclusion / may apply	
NCT00538486	FALSE	Inclusion	FALSE	grade 1 or grade 2 hypertension : 140 mmhg < = sbp < 180 mmhg ; or 90 mmhg < = dbp < 110 mmhg	unrecorded
NCT00538486	TRUE	Inclusion	FALSE	waist circumference higher than 90 cm in men ; 80 cm in women	
NCT00538486	TRUE	Exclusion	FALSE	diabetes	
NCT00538486	TRUE	Exclusion	FALSE	grade 3 hypertension : sbp > = 180 mmhg ; or dbp > = 110 mmhg	
NCT00538486	TRUE	Exclusion	FALSE	known allergy or hypersensitivity to trial drugs	
NCT00538486	TRUE	Exclusion	FALSE	myocardial infarction or cerebrovascular accident in the year preceding the trial	
NCT00538486	TRUE	Exclusion	FALSE	clinical congestive heart failure	
NCT00538486	TRUE	Exclusion	FALSE	history of hepatitis or cirrhosis	
NCT00538486	TRUE	Exclusion	FALSE	history of kidney disease	
NCT00698646	FALSE	Inclusion	FALSE	age 70 years or older .	unrecorded
NCT00698646	TRUE	Inclusion	FALSE	patients with hypertension prior to being randomized into study .	
NCT00698646	TRUE	Inclusion	FALSE	patients must have an office cuff mssbp > = 140 and < = 200 mmhg systolic .	
NCT00698646	TRUE	Inclusion	FALSE	have the ability to communicate and comply with all study requirements .	
NCT00698646	TRUE	Inclusion	NA	provide written informed consent to participate in the study prior to any screening or study procedures .	
NCT00698646	TRUE	Exclusion	FALSE	use of other investigational drugs within 30 days of enrollment .	
NCT00698646	TRUE	Exclusion	FALSE	history of hypersensitivity to any of the study drugs or to drugs of similar chemical classes .	
NCT00698646	TRUE	Exclusion	FALSE	office blood pressure measured by office machine cuff with a mean of 3 msdbp > = 120 mmhg at anytime during the screening / washout period .	
NCT00698646	TRUE	Exclusion	FALSE	patients taking 3 or more antihypertensive drugs and mssbp > = 160 mmhg at the time of visit 1 .	
NCT00698646	TRUE	Exclusion	FALSE	other protocol-defined may apply	
NCT00739973	FALSE	Inclusion	NA	msdbp > = 90 mmhg and < 110 mmhg at the visit prior to visit 3 ( visit 2 or optional visit 201 )	unrecorded
NCT00739973	TRUE	Inclusion	NA	msdbp > = 95 mmhg and < 110 mmhg at visit 3 ( day 1 / randomization ) .	
NCT00739973	TRUE	Inclusion	FALSE	all patients must have an absolute difference of < = 10 mmhg in their msdbp during the last 2 visits of the single-blind run-in period ( visit 2 and 3 or visits 201 and 3 ) .	
NCT00739973	TRUE	Exclusion	FALSE	severe hypertension	
NCT00739973	TRUE	Exclusion	FALSE	pregnant or nursing ( lactating ) women	
NCT00739973	TRUE	Exclusion	FALSE	women of child-bearing potential	
NCT00739973	TRUE	Exclusion	FALSE	previous diagnosis or current diagnosis of heart failure ( nyha class ii- .	
NCT00739973	TRUE	Exclusion	FALSE	serum potassium > = 5.3 meq / l ( mmol / l ) at visit 1 .	
NCT00739973	TRUE	Exclusion	FALSE	uncontrolled type 1 diabetes or type 2 diabetesmellitus	
NCT00739973	TRUE	Exclusion	FALSE	hypersensitivity to renin inhibitors ; calcium channel blockers ; or to drugs with similar chemical structures	
NCT00739973	TRUE	Exclusion	FALSE	history of malignancy within 5 years	
NCT00739973	TRUE	Exclusion	FALSE	history of hypertensive encephalopathy accident or cerebrovascular accident ; or history of transient ischemic attack ( tia ) ; myocardial infarction ; coronary bypass surgery ; or any percutaneous coronary intervention	
NCT00777946	FALSE	Inclusion	FALSE	newly diagnosed patients or patients who have not been treated for hypertension within the 4 weeks prior to visit 1 must have a mean sitting diastolic blood pressure ( msdbp ) > = 95 mmhg and < 110 mmhg at visits 1 and 2	unrecorded
NCT00777946	TRUE	Inclusion	TRUE	newly diagnosed patients or patients who have not been treated for hypertension within the 4 weeks prior to visit 1 must have a mean sitting diastolic blood pressure ( msdbp ) > = 95 mmhg and < 110 mmhg at visits 1 and 2	
NCT00777946	TRUE	Inclusion	FALSE	patients who have been treated for hypertension within the 4 weeks prior to visit 1 must have a msdbp > = 90 mmhg and < 110 mmhg at visit 2	
NCT00777946	TRUE	Inclusion	NA	all patients must have a msdbp > = 90 mmhg and < 110 mmhg at visit 4	
NCT00777946	TRUE	Exclusion	FALSE	severe hypertension	
NCT00777946	TRUE	Exclusion	FALSE	pregnant or nursing ( lactating ) women	
NCT00777946	TRUE	Exclusion	FALSE	women of child-bearing potential	
NCT00777946	TRUE	Exclusion	FALSE	previous diagnosis or current diagnosis of heart failure new york heart association ( nyha class ii-	
NCT00777946	TRUE	Exclusion	FALSE	serum potassium > = 5.3 meq / l ( mmol / l ) at visit 1	
NCT00777946	TRUE	Exclusion	FALSE	uncontrolled type 1 diabetes or type 2 diabetesmellitus	
NCT00777946	TRUE	Exclusion	FALSE	hypersensitivity to renin inhibitors ; calcium channel blockers ; or to drugs with similar chemical structures	
NCT00777946	TRUE	Exclusion	FALSE	history of hypertensive encephalopathy accident or cerebrovascular accident ; or history of transient ischemic attack ( tia ) ; myocardial infarction ; coronary bypass surgery ; or any percutaneous coronary intervention	
