inclusion_exclusion,negated,criteria_sentences,bp_inclusion
Exclusion,FALSE,history or evidence of a secondary form of hypertension .,
Exclusion,FALSE,history of hypertensive encephalopathy accident or cerebrovascular accident .,
Exclusion,FALSE,known secondary hypertension of any etiology ( eg ; uncorrected renal artery stenosis ) .,
Exclusion,FALSE,secondary hypertension,
Exclusion,FALSE,a history of malignant hypertension,
Exclusion,FALSE,secondary hypertension or suspected of having secondary hypertension .,
Exclusion,FALSE,evidence of a secondary form of hypertension ; to include coarctation of the aorta ; primary hyperaldosteronism ; renal artery stenosis ; or pheochromocytoma .,
Exclusion,FALSE,known keith-wagener grade iii or grade iv hypertensive retinopathy .,
Exclusion,FALSE,patients suspected of having malignant hypertension,
Exclusion,FALSE,patients with or suspected of having secondary hypertension ( due to aortic coarctation ; primary aldosteronism ; etc ; ),
Exclusion,FALSE,inability to stop all prior blood pressure medications safely,
Exclusion,FALSE,history of hypertensive encephalopathy accident or cerebrovascular accident ; transient ischemic cerebral attack ( tia ) ; myocardial infarction ; coronary bypass surgery ; or any percutaneous coronary intervention ( pci ) .,
Exclusion,FALSE,patients with a history of malignant hypertension .,
Exclusion,FALSE,patients with secondary hypertension or suspected of having secondary hypertension .,
Exclusion,FALSE,clinically known or suspected history of secondary hypertension,
Exclusion,FALSE,office blood pressure measured by office machine cuff with a mean of 3 msdbp > = 120 mmhg at anytime during the screening / washout period .,
Exclusion,FALSE,history of hypertensive encephalopathy accident or cerebrovascular accident ; or history of transient ischemic attack ( tia ) ; myocardial infarction ; coronary bypass surgery ; or any percutaneous coronary intervention,
Exclusion,FALSE,malignant hypertension,
Exclusion,FALSE,office blood pressure measured by cuff ( mssbp > = 200 mmhg or msdbp > = 110 mmhg ) at visits 1 - 5 .,
Exclusion,FALSE,history of hypertensive encephalopathy or heart failure ( nyha class ii- .,
Exclusion,FALSE,known keith-wagener grade iii or grade iv hypertensive retinopathy . ;,
Exclusion,FALSE,history or evidence of secondary hypertension of any etiology ( eg ; uncorrected renal artery stenosis ; pheochromocytoma ) .,
Exclusion,FALSE,refractory hypertension ; defined as unresponsive to triple drug therapy at the maximum dose of each drug ; one of which must be a diuretic ; and not at blood pressure goal ( 140 / 90 mmhg ) .,
Exclusion,FALSE,evidence of secondary form of hypertension ( coarctation of the aorta ; hyperaldosteronism ; unilateral renal artery or bilateral renal artery stenosis ; cushing disease ; pheochromocytoma or polycystic kidney disease ),
Exclusion,FALSE,administration of any agent indicated for the treatment of hypertension after visit 1,
Exclusion,FALSE,history of hypertensive encephalopathy ; cerebrovascular accident ; or transient ischemic attack ; myocardial infarction or all types of revascularization ; angina pectoris of any type ; including unstable angina,
Exclusion,FALSE,secondary form of hypertension,
Exclusion,FALSE,secondary hypertension or malignant hypertension,
Exclusion,FALSE,history or evidence of a secondary form of hypertension ; including but not limited to any of the following : renal parenchymal hypertension ; renovascular hypertension ( unilateral renal artery or bilateral renal artery stenosis ) ; coarctation of the aorta ; primary hyperaldosteronism ; cushing disease ; pheochromocytoma ; polycystic kidney disease ( pkd ) ; drug-induced hypertension,
Exclusion,FALSE,patient with difference in repeatedly measured blood pressures from the selected arm at screening was sitsbp > = 20 mmhg or sitdbp > = 10 mmhg,
Exclusion,FALSE,patients taking more than three anti-hypertensive medications at the screening visit,
Exclusion,FALSE,concomitant administration of medications known to affect blood pressure ; except medications allowed by the protocol,
Exclusion,FALSE,known or suspected secondary hypertension,
Exclusion,FALSE,screening time ( visit 1 ) ; time of randomization ( visit 2 ) : sitdbp > = 120 mmhg ; patients with secondary blood pressure or suspected of secondary blood pressure ( for example ; aortic coarctation ; primary aldosteronism ; renal artery stenosis ; pheochromocytoma ),
Exclusion,TRUE,refractory hypertension ; defined as unresponsive to triple drug therapy at the maximum dose of each drug ; one of which must be a diuretic ; and not at blood pressure goal ( 140 / 90 mmhg ) .,
Inclusion,FALSE,clinical diagnosis of hypertension,
Inclusion,FALSE,diagnosis / history of high blood pressure,
Inclusion,FALSE,patients with uncomplicated hypertension ; essential hypertension,
Inclusion,FALSE,essential hypertension,
Inclusion,FALSE,patients with essential hypertension,
Inclusion,FALSE,patients with essential hypertension .,
Inclusion,FALSE,NA,
Inclusion,FALSE,essential hypertension measured by mercury sphygmomanometer,
Inclusion,FALSE,patients with a diagnosis of hypertension .,
Inclusion,FALSE,patients with essential hypertension measured by electronic hemodynamometer,
Inclusion,FALSE,male or female outpatients ; 50 years of age and older with a diagnosis of essential hypertension,
Inclusion,FALSE,patients with hypertension prior to being randomized into study .,
Inclusion,FALSE,newly diagnosed or currently treated hypertensive patients who have not attained their blood pressure target and require active pharmacological treatment as recommended by the local guidelines as judged by the general practitioner,
Inclusion,FALSE,diagnosed as having essential diastolic hypertension ; as follows :,
Inclusion,FALSE,patients with newly diagnosed hypertension or patients who have not received antihypertensive therapy for at least 4 weeks prior to screening,
Inclusion,FALSE,patient with essential hypertension,
Inclusion,FALSE,patients with uncontrolled essential hypertension at screening time ( visit 1 ),
Inclusion,FALSE,patients with uncontrolled hypertension after telmisartamlodipine 40 / 5 mg treatment for 6 weeks at randomization ( visit 2 ),
Inclusion,TRUE,newly diagnosed or currently treated hypertensive patients who have not attained their blood pressure target and require active pharmacological treatment as recommended by the local guidelines as judged by the general practitioner,
