nct_id,measure,description
NCT00739973,Pairwise Comparison of Aliskiren/Amlodipine 300/10 mg vs. Amlodipine 10 mg on Change in Mean Sitting Diastolic Blood Pressure (msDBP),"The arm in which the highest sitting diastolic pressures were found at study entry was the arm used for all subsequent readings. An automated BP measurement device and appropriate size cuff were used to measure arterial sitting blood pressure (BP) at trough with the arm supported at the level of the heart. At each study visit, after having the patient in a sitting position for at least 5 minutes, diastolic BP were measured 3 times at 1-2 minute intervals. A mean was calculated from the 3 measurements."
NCT00739973,Pairwise Comparison of Aliskiren/Amlodipine 300/10 mg vs. Placebo on Change in Mean Sitting Diastolic Blood Pressure (msDBP),"The arm in which the highest sitting diastolic pressures were found at study entry was the arm used for all subsequent readings. An automated BP measurement device and appropriate size cuff were used to measure arterial sitting blood pressure (BP) at trough with the arm supported at the level of the heart. At each study visit, after having the patient in a sitting position for at least 5 minutes, diastolic BP were measured 3 times at 1-2 minute intervals. A mean was calculated from the 3 measurements."
NCT00706134,Change in Mean Sitting Systolic Blood Pressure (msSBP)From Baseline to End of Study (Week 8),NA
NCT00705575,Change in Mean Sitting Systolic Blood Pressure (msSBP) From Baseline to End of Study (Week 12),"At the first visit, blood pressure (BP) was measured in both arms and the arm having the higher BP reading was the arm used for all subsequent readings throughout the study. Patients were required to sit for five minutes with feet flat on the floor, with arm resting so that the bottom of the cuff was at the same level as the heart. BP was measured three times at 1 to 2-minute intervals at each visit using the correct cuff size. The mean BP was calculated from the 3 readings."
NCT00699192,Change in Mean Sitting Systolic Blood Pressure (msSBP) From Baseline to End of Study (Week 8),"At study entry, blood pressure (BP) was measured in both arms with an automatic BP monitor. The arm with the higher systolic BP reading was used for all measurements throughout the study. At each study visit, 3 separate sitting BPs were obtained 23-26 hours post-dose with at least 2 minutes between measurements and with the cuff fully deflated. Mean BP was automatically calculated from the 3 readings. A negative change from baseline indicates lowered BP."
NCT00698646,Change From Baseline to Week 4 in Office Cuff Mean Sitting Systolic Blood Pressure (MSSBP),NA
NCT00696436,Change From Baseline in the 24-hour Mean Systolic Blood Pressure Measured by Ambulatory Blood Pressure Monitoring.,The change in 24-hour mean systolic blood pressure measured at week 6 relative to baseline. Ambulatory blood pressure monitoring measures blood pressure at regular intervals throughout the day and night. The 24-hour mean is the average of all measurements recorded for 24 hours after dosing.
NCT00696241,Change From Baseline in the 24-hour Mean Systolic Blood Pressure Measured by Ambulatory Blood Pressure Monitoring.,The change in 24-hour mean systolic blood pressure measured at week 6 relative to baseline. Ambulatory blood pressure monitoring measures blood pressure at regular intervals throughout the day and night. The 24-hour mean is the average of all measurements recorded for 24 hours after dosing.
NCT00687973,Change From Baseline of Central Systolic Blood Pressure (SBP) at Week 24 (Radial Measurement),NA
NCT00649389,Change From Baseline to Week 12 in Seated Diastolic Blood Pressure (SeDBP).,NA
NCT00631917,Percentage of Participants With Colonic Pathology,"The primary analysis variable was the occurrence of an abnormal colonoscopy finding (defined as hyper-plastic polyps, inflammatory polyps, adenomatous polyps or carcinoma) at or prior to the planned one year visit. The occurrence of colonic pathology was identified during colonoscopy and histopathologic examination of biopsy. The composite endpoint was evaluated after one year of treatment with an aliskiren-based regimen compared to a ramipril-based regimen."
NCT00631917,Summary of the End of Study Colonoscopy Results,"During each colonoscopy procedure, random biopsy samples were taken from normal appearing mucosa in both the cecum and rectum in addition to obvious endoscopically atypical areas. The mucosal biopsy samples were evaluated for mucosal hyperplasia, dysplasia, and inflammation. Anything noted as a distinct visual abnormality from cecum to rectum such as ulcers, erythematous mucosa, or polyps, was photographed and biopsied for histopathology evaluation. Colonic lesions were categorized according to location in the colon, size, number, and morphology."
NCT00624052,Trough Seated Diastolic Blood Pressure (DBP) Control,The number of patients who reached the target DBP of <90mmHg
NCT00614380,Trough Seated Diastolic Blood Pressure (DBP) Control,The number of patients who reach the target DBP of <90mmHg
NCT00591578,Change From Baseline in 24-hour Mean Systolic Blood Pressure Measured by Ambulatory Blood Pressure Monitoring.,The change in 24-hour mean systolic blood pressure measured at week 24 relative to baseline. Ambulatory blood pressure monitoring measures blood pressure at regular intervals throughout the day and night. The 24-hour mean is the average of all measurements recorded for 24 hours after dosing.
NCT00558428,Change From Baseline in Trough Seated Diastolic Blood Pressure (DBP),Change from baseline to the end of study in trough DBP
NCT00558428,Number of Patients With Oedema,Patients from the treated set who experienced at least one case of general oedema.
NCT00558064,Reduction From Reference Baseline in Mean Seated Diastolic Blood Pressure at Trough (24-hour Post-dosing),"The mean of the change value was least square mean which was calculated by analysis of covariance with factor treatment and center, and covariate baseline."
NCT00553267,Change From Baseline in Trough Seated Diastolic Blood Pressure,Change from baseline to the end of study in trough DBP
NCT00550953,Decrease in Seated Diastolic Blood Pressure From Baseline to 8 Weeks,"The mean of the change value was least square mean which was calculated by analysis of covariance with factor treatment and center, and covariate baseline."
NCT00546754,Change in Systolic Blood Pressure From Baseline to Week 12,NA
NCT00546754,Change in Diastolic Blood Pressure From Baseline to Week 12,NA
NCT00538486,Blood Pressure,NA
NCT00538486,"Metabolic profiles, including lipid profile and blood glucose",NA
NCT00529451,Non-inferiority of Aliskiren 300 mg to Ramipril 5 mg in Change in Mean Sitting Diastolic Blood Pressure (msDBP),To evaluate the non-inferiority of aliskiren 300 mg to ramipril 5 mg in the change in Mean Sitting Diastolic Blood Pressure (msDBP) from baseline to 8 week endpoint
NCT00529451,Non-inferiority of Aliskiren 150 mg to Ramipril 5 mg in Change in Mean Sitting Diastolic Blood Pressure (msDBP),To evaluate the non-inferiority of aliskiren 300 mg to ramipril 5 mg in the change in Mean Sitting Diastolic Blood Pressure (msDBP) from baseline to 8 week endpoint
NCT00529451,Non-inferiority of Aliskiren 75 mg to Ramipril 5 mg in Change in Mean Sitting Diastolic Blood Pressure (msDBP),To evaluate the non-inferiority of aliskiren 75 mg to ramipril 5 mg in the change in Mean Sitting Diastolic Blood Pressure (msDBP) from baseline to 8 week endpoint
NCT00500604,Reduction in mean SBP as measured by HBPM,NA
NCT00454662,"Composite of following events: Sudden death, Cerebrovascular events, Coronary events, Renal dysfunction",NA
NCT00439738,Change in Mean Sitting Systolic Blood Pressure (MSSBP),NA
NCT00425997,-Change from baseline in mean 24-hr ambulatory systolic blood pressure (BP) after 10 weeks of treatment of valsartan/HCTZ versus amlodipine and HCTZ,NA
NCT00425373,Change in Mean Sitting Diastolic Blood Pressure (MSDBP) From Baseline to End of Study (Week 8),"At study entry, blood pressure was measured in both arms using a standard method described in the protocol. The arm with the higher diastolic BP reading was used for the measurements at all subsequent visits. Blood pressure in the sitting position was measured after resting in a seated position for at least 5 minutes. The measurement was repeated a total of 3 times at intervals of 1 to 2 minutes. A negative number indicates lowered blood pressure."
NCT00413413,Change in Mean Sitting Diastolic Blood Pressure (msDBP) From Baseline to End of Study (Week 8),"Blood pressure (BP) was measured with a calibrated aneroid or mercury sphygmomanometer. The arm in which the highest sitting diastolic BP was found at study entry was used for all subsequent readings. At each visit, after the patient was in a sitting position for five minutes, systolic/diastolic BP was measured 3 times at 1-2-minute intervals. The mean of the 3 measurements was calculated."
NCT00413049,Change in Mean Sitting Diastolic Blood Pressure (msDBP) From Baseline to End of Study (Week 8),"Blood pressure (BP) was measured with a calibrated aneroid or mercury sphygmomanometer. The arm in which the highest sitting diastolic BP was found at study entry was used for all subsequent readings. At each visit, after the patient was in a sitting position for five minutes, systolic/diastolic BP was measured 3 times at 1-2-minute intervals. The mean of the 3 measurements was calculated. A negative change score indicates lowered BP."
NCT00409851,Change from baseline (Visit 2) in mean sitting diastolic blood pressure at trough.,NA
NCT00409760,Change from baseline (Visit 2) in mean sitting diastolic blood pressure at trough (Wk 4 and Wk 8),NA
NCT00409643,Change from baseline (Visit 2) in mean sitting diastolic blood pressure at trough (endpoint-Week 8).,NA
NCT00400777,"Proportion of patients reaching diastolic BP control, Proportion of patients reaching systolic BP control Percentage of diastolic responders,",NA
NCT00387517,"Mean sitting diastolic blood pressure lowering effect at baseline, and week 8.",NA
NCT00386139,"Mean Sitting Diastolic Blood Pressure lowering effect at baseline, and week 8.",NA
NCT00385931,Change from baseline in ambulatory systolic blood pressure at 12 weeks,NA
NCT00368277,Change From Baseline in Mean Sitting Systolic Blood Pressure to Week 12,NA
NCT00353912,Change from baseline in MSSBP at week 8,NA
NCT00350168,Change from baseline in MSSBP at week 4,NA
NCT00344110,Mean sitting diastolic blood pressure (msDBP) lowering from baseline to the study end to placebo and losartan,NA
NCT00343551,"Mean 24-hour ambulatory diastolic blood pressure (MADBP) change from baseline, after a missed dose, aliskiren 300 mg versus irbesartan 300mg.",NA
NCT00343551,from baseline.,NA
NCT00343551,"Mean 24-hour ambulatory diastolic blood pressure (MADBP) change from baseline, after a missed dose, ramipril 10 mg versus irbesartan 300mg.",NA
NCT00333489,Change from baseline in the mean sitting diastolic blood pressure after 8 weeks,NA
NCT00327145,Blood pressure less than 140/90 mmHg in non diabetic patients or blood pressure less than 130/80 mmHg in diabetic patients after 16 weeks,NA
NCT00316095,Change in 24-hour ambulatory blood pressure measurement (ABPM) measured mean diastolic blood pressure (DBP),NA
NCT00316095,Change in 24-hour ambulatory blood pressure measurement (ABPM) measured mean low density lipoprotein (LDL),NA
NCT00311740,Change from baseline in diastolic blood pressure after 8 weeks,NA
NCT00296218,comparison of the relative change from baseline in hsCRP at day 60 between the two treatment groups,NA
NCT00294710,Change from baseline in diastolic blood pressure after 52 weeks,NA
NCT00281593,Change from baseline in seated trough Diastolic Blood pressure after 8 weeks of treatment,NA
NCT00281580,Change From Baseline at 8 Weeks in Seated Trough Cuff Mean Diastolic Blood Pressure (DBP) (Observed Telmisartan Effect),Observed results
NCT00281580,Change From Baseline at 8 Weeks in Seated Trough Cuff Mean DBP (Adjusted Telmisartan Effects),"Results stem from an ANCOVA including the main effects of treatment with telmisartan, treatment with amlodipine, and country/region with baseline DBP included as a covariate."
