sid,nct_id,inclusion_exclusion,criteria_sentences,classification_result,caption,cui,term,negated,uncertain,temporal_constraint,measurement_constraint,dose_constraint
5,NCT00034840,Exclusion,are of child-bearing potential and are not practicing acceptable methods of birth control ; or do not plan to continue practicing an acceptable method throughout the study,Observation,Observation,C3831118,child-bearing potential,FALSE,FALSE,NA,NA,NA
5,NCT00034840,Exclusion,are of child-bearing potential and are not practicing acceptable methods of birth control ; or do not plan to continue practicing an acceptable method throughout the study,Observation,Other,C0025663,methods,TRUE,FALSE,NA,NA,NA
5,NCT00034840,Exclusion,are of child-bearing potential and are not practicing acceptable methods of birth control ; or do not plan to continue practicing an acceptable method throughout the study,Observation,Other,C0700589;C2703065,birth control,TRUE,FALSE,NA,NA,NA
5,NCT00034840,Exclusion,are of child-bearing potential and are not practicing acceptable methods of birth control ; or do not plan to continue practicing an acceptable method throughout the study,Observation,Other,C2827714;C0871511;C2828387,method,FALSE,FALSE,NA,NA,NA
6,NCT00034840,Exclusion,acceptable methods of birth control include iud contraceptives ; oral contraceptives ; implantable contraceptives or injectable contraceptives,Drug Exposure,Drug,C1706306,iud,FALSE,FALSE,NA,NA,NA
6,NCT00034840,Exclusion,acceptable methods of birth control include iud contraceptives ; oral contraceptives ; implantable contraceptives or injectable contraceptives,Drug Exposure,Drug,C0086466;C1272936,injectable,FALSE,FALSE,NA,NA,NA
6,NCT00034840,Exclusion,acceptable methods of birth control include iud contraceptives ; oral contraceptives ; implantable contraceptives or injectable contraceptives,Drug Exposure,Other,C0025663,methods,FALSE,FALSE,NA,NA,NA
6,NCT00034840,Exclusion,acceptable methods of birth control include iud contraceptives ; oral contraceptives ; implantable contraceptives or injectable contraceptives,Drug Exposure,Other,C0700589;C2703065,birth control,FALSE,FALSE,NA,NA,NA
6,NCT00034840,Exclusion,acceptable methods of birth control include iud contraceptives ; oral contraceptives ; implantable contraceptives or injectable contraceptives,Drug Exposure,Other,C0009905;C0274536;C0481121;C1548892,oral contraceptives,FALSE,FALSE,NA,NA,NA
7,NCT00034840,Exclusion,no exceptions will be made .,Other,NA,NA,NA,NA,NA,NA,NA,NA
8,NCT00034840,Exclusion,night shift workers who routinely sleep during the daytime and whose work hours include midnight to 4 : 00 m .,Drug Exposure,Condition,C0555008,night shift workers,FALSE,FALSE,NA,NA,NA
8,NCT00034840,Exclusion,night shift workers who routinely sleep during the daytime and whose work hours include midnight to 4 : 00 m .,Drug Exposure,Drug,C1654656,daytime,FALSE,FALSE,NA,equal 4,equal 00 m
8,NCT00034840,Exclusion,night shift workers who routinely sleep during the daytime and whose work hours include midnight to 4 : 00 m .,Drug Exposure,Other,C0037313;C0723362,sleep,FALSE,FALSE,NA,NA,NA
9,NCT00034840,Exclusion,mean sitting sbp = 180 mm hg or mean sitting dbp = 110 mm hg during any visit of the placebo run-in period .,Observation,Condition,C0277814;C2584297,sitting,FALSE,FALSE,NA,NA,NA
9,NCT00034840,Exclusion,mean sitting sbp = 180 mm hg or mean sitting dbp = 110 mm hg during any visit of the placebo run-in period .,Observation,Condition,C0277814;C2584297,sitting,FALSE,FALSE,NA,NA,NA
9,NCT00034840,Exclusion,mean sitting sbp = 180 mm hg or mean sitting dbp = 110 mm hg during any visit of the placebo run-in period .,Observation,Drug,C1696465,placebo,FALSE,FALSE,NA,NA,NA
9,NCT00034840,Exclusion,mean sitting sbp = 180 mm hg or mean sitting dbp = 110 mm hg during any visit of the placebo run-in period .,Observation,Observation,C1306620,sbp,FALSE,FALSE,NA,equal 180 mm hg,NA
9,NCT00034840,Exclusion,mean sitting sbp = 180 mm hg or mean sitting dbp = 110 mm hg during any visit of the placebo run-in period .,Observation,Observation,C1305849,dbp,FALSE,FALSE,NA,equal 110 mm hg,NA
10,NCT00034840,Exclusion,known or suspected secondary hypertension ( ie ; pheochromocytoma ) .,Condition Occurrence,Condition,C0155616,secondary hypertension,FALSE,FALSE,NA,NA,NA
10,NCT00034840,Exclusion,known or suspected secondary hypertension ( ie ; pheochromocytoma ) .,Condition Occurrence,Condition,C0031511;C1706920,pheochromocytoma,FALSE,FALSE,NA,NA,NA
11,NCT00034840,Exclusion,hepatic dysfunction or renal dysfunction as defined by the following laboratory parameters :,Condition Occurrence,Condition,C0086565,hepatic dysfunction,FALSE,FALSE,NA,NA,NA
11,NCT00034840,Exclusion,hepatic dysfunction or renal dysfunction as defined by the following laboratory parameters :,Condition Occurrence,Condition,C3279454,renal dysfunction,FALSE,FALSE,NA,NA,NA
11,NCT00034840,Exclusion,hepatic dysfunction or renal dysfunction as defined by the following laboratory parameters :,Condition Occurrence,Observation,C1697786;C1571737,laboratory,FALSE,FALSE,NA,NA,NA
11,NCT00034840,Exclusion,hepatic dysfunction or renal dysfunction as defined by the following laboratory parameters :,Condition Occurrence,Other,C3539106,defined,FALSE,FALSE,NA,NA,NA
12,NCT00034840,Exclusion,sgpt ( alt ) or sgot ( ast ) > 2 times the upper limit of normal range .,Observation,Observation,C0376147;C0036828,sgpt,FALSE,FALSE,NA,NA,NA
12,NCT00034840,Exclusion,sgpt ( alt ) or sgot ( ast ) > 2 times the upper limit of normal range .,Observation,Observation,C1140170;C2257651,alt,FALSE,FALSE,NA,NA,NA
12,NCT00034840,Exclusion,sgpt ( alt ) or sgot ( ast ) > 2 times the upper limit of normal range .,Observation,Observation,C0242192;C0201899,sgot,FALSE,FALSE,NA,NA,NA
12,NCT00034840,Exclusion,sgpt ( alt ) or sgot ( ast ) > 2 times the upper limit of normal range .,Observation,Observation,C0004002,ast,FALSE,FALSE,NA,NA,NA
12,NCT00034840,Exclusion,sgpt ( alt ) or sgot ( ast ) > 2 times the upper limit of normal range .,Observation,Observation,C3542016,range,FALSE,FALSE,NA,NA,greater 2 times the upper limit of normal
13,NCT00034840,Exclusion,serum creatinine > 2.3 mg / dl ( or > 203 umol / l ) .,Observation,Observation,C0201976;C0600061,serum creatinine,FALSE,FALSE,NA,greater 203 umol/l,greater 2.3 mg/dl
14,NCT00034840,Exclusion,bilateral renal artery stenosis ; renal artery stenosis in a solitary kidney ; post-renal transplant patients or patients with only one kidney .,Condition Occurrence,Condition,C0856760,bilateral renal artery stenosis,FALSE,FALSE,NA,NA,NA
14,NCT00034840,Exclusion,bilateral renal artery stenosis ; renal artery stenosis in a solitary kidney ; post-renal transplant patients or patients with only one kidney .,Condition Occurrence,Condition,C0035067,renal artery stenosis,FALSE,FALSE,NA,NA,NA
14,NCT00034840,Exclusion,bilateral renal artery stenosis ; renal artery stenosis in a solitary kidney ; post-renal transplant patients or patients with only one kidney .,Condition Occurrence,Condition,C0266294,solitary kidney,FALSE,FALSE,NA,NA,NA
14,NCT00034840,Exclusion,bilateral renal artery stenosis ; renal artery stenosis in a solitary kidney ; post-renal transplant patients or patients with only one kidney .,Condition Occurrence,Condition,C0478647,transplant,FALSE,FALSE,NA,NA,NA
14,NCT00034840,Exclusion,bilateral renal artery stenosis ; renal artery stenosis in a solitary kidney ; post-renal transplant patients or patients with only one kidney .,Condition Occurrence,Other,C0496892;C0496927;C0869841;C0022646;C0812426;C1278978,kidney,FALSE,FALSE,NA,NA,NA
15,NCT00034840,Exclusion,clinically relevant sodium depletion ; hypokalaemia or hyperkalaemia .,Condition Occurrence,Condition,C0020625,sodium depletion,FALSE,FALSE,NA,NA,NA
16,NCT00034840,Exclusion,uncorrected volume depletion .,Condition Occurrence,Condition,C0546884,volume depletion,FALSE,FALSE,NA,NA,NA
17,NCT00034840,Exclusion,primary aldosteronism .,Condition Occurrence,Condition,C1384514,primary aldosteronism,FALSE,FALSE,NA,NA,NA
18,NCT00034840,Exclusion,hereditary fructose intolerance .,Condition Occurrence,Condition,C0016751,hereditary fructose intolerance,FALSE,FALSE,NA,NA,NA
19,NCT00034840,Exclusion,biliary obstructive disorders .,Other,NA,NA,NA,NA,NA,NA,NA,NA
20,NCT00034840,Exclusion,congestive heart failure ( nyha functional class chf iii- .,Condition Occurrence,Condition,C0018802,congestive heart failure,FALSE,FALSE,NA,NA,NA
20,NCT00034840,Exclusion,congestive heart failure ( nyha functional class chf iii- .,Condition Occurrence,Condition,C0018802,chf,FALSE,FALSE,NA,NA,NA
20,NCT00034840,Exclusion,congestive heart failure ( nyha functional class chf iii- .,Condition Occurrence,Other,C0456387;C0489477,class,FALSE,FALSE,NA,NA,NA
20,NCT00034840,Exclusion,congestive heart failure ( nyha functional class chf iii- .,Condition Occurrence,Other,C0439070;C2337640;C3496532,iii-,FALSE,FALSE,NA,NA,NA
21,NCT00034840,Exclusion,unstable angina within the past three months prior to signing the informed consent form .,Condition Occurrence,Condition,C0002965,unstable angina,FALSE,FALSE,NA,NA,NA
21,NCT00034840,Exclusion,unstable angina within the past three months prior to signing the informed consent form .,Condition Occurrence,Other,C0009797,informed consent form,FALSE,FALSE,NA,NA,NA
22,NCT00034840,Exclusion,stroke within the past six months prior to signing the informed consent form .,Other,Other,C0009797,informed consent form,FALSE,FALSE,NA,NA,NA
23,NCT00034840,Exclusion,myocardial infarction or cardiac surgery within the past three months prior to signing the informed consent form . ; ptca ( percutaneous transluminal coronary revascularization ) within the past three months prior to signing the informed consent form .,Procedure,Procedure,C0018821,cardiac surgery,FALSE,FALSE,NA,NA,NA
23,NCT00034840,Exclusion,myocardial infarction or cardiac surgery within the past three months prior to signing the informed consent form . ; ptca ( percutaneous transluminal coronary revascularization ) within the past three months prior to signing the informed consent form .,Procedure,Procedure,C2936173;C0002997,ptca,FALSE,FALSE,NA,NA,NA
23,NCT00034840,Exclusion,myocardial infarction or cardiac surgery within the past three months prior to signing the informed consent form . ; ptca ( percutaneous transluminal coronary revascularization ) within the past three months prior to signing the informed consent form .,Procedure,Procedure,C0877341,coronary revascularization,FALSE,FALSE,NA,NA,NA
23,NCT00034840,Exclusion,myocardial infarction or cardiac surgery within the past three months prior to signing the informed consent form . ; ptca ( percutaneous transluminal coronary revascularization ) within the past three months prior to signing the informed consent form .,Procedure,Other,C0027051;C2926063;C0428953,myocardial infarction,FALSE,FALSE,NA,NA,NA
23,NCT00034840,Exclusion,myocardial infarction or cardiac surgery within the past three months prior to signing the informed consent form . ; ptca ( percutaneous transluminal coronary revascularization ) within the past three months prior to signing the informed consent form .,Procedure,Other,C0009797,informed consent form,FALSE,FALSE,NA,NA,NA
23,NCT00034840,Exclusion,myocardial infarction or cardiac surgery within the past three months prior to signing the informed consent form . ; ptca ( percutaneous transluminal coronary revascularization ) within the past three months prior to signing the informed consent form .,Procedure,Other,C0009797,informed consent form,FALSE,FALSE,NA,NA,NA
24,NCT00034840,Exclusion,sustained ventricular tachycardia ; atrial fibrillation ; atrial flutter or other clinically relevant cardiac arrhythmias as determined by the investigator .,Condition Occurrence,Condition,C0750197,sustained ventricular tachycardia,FALSE,FALSE,NA,NA,NA
24,NCT00034840,Exclusion,sustained ventricular tachycardia ; atrial fibrillation ; atrial flutter or other clinically relevant cardiac arrhythmias as determined by the investigator .,Condition Occurrence,Condition,C0004239;C1963068,atrial flutter,FALSE,FALSE,NA,NA,NA
24,NCT00034840,Exclusion,sustained ventricular tachycardia ; atrial fibrillation ; atrial flutter or other clinically relevant cardiac arrhythmias as determined by the investigator .,Condition Occurrence,Condition,C0003811,cardiac arrhythmias,FALSE,FALSE,NA,NA,NA
24,NCT00034840,Exclusion,sustained ventricular tachycardia ; atrial fibrillation ; atrial flutter or other clinically relevant cardiac arrhythmias as determined by the investigator .,Condition Occurrence,Other,C0004238;C1963067;C2926591,atrial fibrillation,FALSE,FALSE,NA,NA,NA
25,NCT00034840,Exclusion,hypertrophic obstructive cardiomyopathy ; aortic stenosis ; hemodynamically relevant stenosis of the aortic valve or mitral valve .,Condition Occurrence,Condition,C0007194,hypertrophic obstructive cardiomyopathy,FALSE,FALSE,NA,NA,NA
25,NCT00034840,Exclusion,hypertrophic obstructive cardiomyopathy ; aortic stenosis ; hemodynamically relevant stenosis of the aortic valve or mitral valve .,Condition Occurrence,Condition,C0003507,aortic stenosis,FALSE,FALSE,NA,NA,NA
25,NCT00034840,Exclusion,hypertrophic obstructive cardiomyopathy ; aortic stenosis ; hemodynamically relevant stenosis of the aortic valve or mitral valve .,Condition Occurrence,Condition,C0003501;C1269005,aortic valve,FALSE,FALSE,NA,NA,NA
25,NCT00034840,Exclusion,hypertrophic obstructive cardiomyopathy ; aortic stenosis ; hemodynamically relevant stenosis of the aortic valve or mitral valve .,Condition Occurrence,Condition,C0026264;C1269004,mitral valve,FALSE,FALSE,NA,NA,NA
25,NCT00034840,Exclusion,hypertrophic obstructive cardiomyopathy ; aortic stenosis ; hemodynamically relevant stenosis of the aortic valve or mitral valve .,Condition Occurrence,Observation,C1261287;C0947637;C0009814,stenosis,FALSE,FALSE,NA,NA,NA
26,NCT00034840,Exclusion,patients with insulin-dependent diabetes mellitus whose diabetes has not been stable and controlled for at least the past three months as defined by an hba1c = 10 % .,Condition Occurrence,Condition,C0011854,insulin-dependent diabetes mellitus,FALSE,FALSE,NA,NA,NA
26,NCT00034840,Exclusion,patients with insulin-dependent diabetes mellitus whose diabetes has not been stable and controlled for at least the past three months as defined by an hba1c = 10 % .,Condition Occurrence,Condition,C0011849;C0011847,diabetes,FALSE,FALSE,NA,NA,NA
26,NCT00034840,Exclusion,patients with insulin-dependent diabetes mellitus whose diabetes has not been stable and controlled for at least the past three months as defined by an hba1c = 10 % .,Condition Occurrence,Observation,C0202054,hba1c,FALSE,FALSE,NA,NA,equal 10 %
26,NCT00034840,Exclusion,patients with insulin-dependent diabetes mellitus whose diabetes has not been stable and controlled for at least the past three months as defined by an hba1c = 10 % .,Condition Occurrence,Other,C1547311,stable,TRUE,FALSE,NA,NA,NA
26,NCT00034840,Exclusion,patients with insulin-dependent diabetes mellitus whose diabetes has not been stable and controlled for at least the past three months as defined by an hba1c = 10 % .,Condition Occurrence,Other,C3539106,defined,FALSE,FALSE,NA,NA,NA
27,NCT00034840,Exclusion,patients who have previously experienced symptoms characteristic of angioedema during treatment with ace inhibitors or angiotensin ii receptor antagonists .,Drug Exposure,Condition,C0002994,angioedema,FALSE,FALSE,NA,NA,NA
27,NCT00034840,Exclusion,patients who have previously experienced symptoms characteristic of angioedema during treatment with ace inhibitors or angiotensin ii receptor antagonists .,Drug Exposure,Drug,C0003015,ace inhibitors,FALSE,FALSE,NA,NA,NA
27,NCT00034840,Exclusion,patients who have previously experienced symptoms characteristic of angioedema during treatment with ace inhibitors or angiotensin ii receptor antagonists .,Drug Exposure,Other,C0521942;C2757003,angiotensin ii receptor antagonists,FALSE,FALSE,NA,NA,NA
28,NCT00034840,Exclusion,history of drug or alcohol dependency within 6 months prior to signing the informed consent form .,Condition Occurrence,Condition,C0001973,alcohol dependency,FALSE,FALSE,lower 6 months,NA,NA
28,NCT00034840,Exclusion,history of drug or alcohol dependency within 6 months prior to signing the informed consent form .,Condition Occurrence,Other,C0013227;C1254351;C0740721,drug,FALSE,FALSE,lower 6 months,NA,NA
28,NCT00034840,Exclusion,history of drug or alcohol dependency within 6 months prior to signing the informed consent form .,Condition Occurrence,Other,C0009797,informed consent form,FALSE,FALSE,NA,NA,NA
29,NCT00034840,Exclusion,chronic administration of any medications known to affect blood pressure ; except medication allowed by the protocol .,Observation,Procedure,C2237113,affect,FALSE,FALSE,NA,NA,NA
29,NCT00034840,Exclusion,chronic administration of any medications known to affect blood pressure ; except medication allowed by the protocol .,Observation,Observation,C0005823;C0005824;C1272641;C1271104,blood pressure,FALSE,FALSE,NA,NA,NA
29,NCT00034840,Exclusion,chronic administration of any medications known to affect blood pressure ; except medication allowed by the protocol .,Observation,Other,C1547296;C1555457,chronic,FALSE,FALSE,NA,NA,NA
30,NCT00034840,Exclusion,any investigational therapy within one month of signing the informed consent form .,Procedure,Procedure,C0949266,investigational therapy,FALSE,FALSE,NA,NA,NA
30,NCT00034840,Exclusion,any investigational therapy within one month of signing the informed consent form .,Procedure,Other,C0009797,informed consent form,FALSE,FALSE,NA,NA,NA
31,NCT00034840,Exclusion,known hypersensitivity to any component of the formulations .,Observation,Observation,C0020517;C0520946,hypersensitivity,FALSE,FALSE,NA,NA,NA
32,NCT00034840,Exclusion,any clinical condition which ; in the opinion of the investigator would not allow safe completion of the protocol and safe administration of trial medication .,Other,Other,C3272565;C1555900;C1608518;C1611832,clinical,FALSE,FALSE,NA,NA,NA
33,NCT00034840,Exclusion,inability to comply with the protocol,Other,NA,NA,NA,NA,NA,NA,NA,NA
1,NCT00095394,Inclusion,men and women ages 18 and older ;,Person,Person,C0025266,men,FALSE,FALSE,NA,NA,NA
1,NCT00095394,Inclusion,men and women ages 18 and older ;,Person,Person,C0086287,women,FALSE,FALSE,NA,NA,NA
2,NCT00095394,Inclusion,willing to provide written informed consent ;,Other,NA,NA,NA,NA,NA,NA,NA,NA
3,NCT00095394,Inclusion,must have uncontrolled hypertension defined as : currently untreated with a diastolic blood pressure greater than 110 mmhg or currently receiving antihypertensive monotherapy with a diastolic blood pressure greater than 100 mmhg,Observation,Condition,C1868885,uncontrolled hypertension,FALSE,FALSE,NA,NA,NA
3,NCT00095394,Inclusion,must have uncontrolled hypertension defined as : currently untreated with a diastolic blood pressure greater than 110 mmhg or currently receiving antihypertensive monotherapy with a diastolic blood pressure greater than 100 mmhg,Observation,Drug,C0003364,antihypertensive,FALSE,FALSE,NA,NA,NA
3,NCT00095394,Inclusion,must have uncontrolled hypertension defined as : currently untreated with a diastolic blood pressure greater than 110 mmhg or currently receiving antihypertensive monotherapy with a diastolic blood pressure greater than 100 mmhg,Observation,Observation,C0428883;C1305849;C0488052,diastolic blood pressure,FALSE,FALSE,NA,greater 110 mmhg,NA
3,NCT00095394,Inclusion,must have uncontrolled hypertension defined as : currently untreated with a diastolic blood pressure greater than 110 mmhg or currently receiving antihypertensive monotherapy with a diastolic blood pressure greater than 100 mmhg,Observation,Observation,C0428883;C1305849;C0488052,diastolic blood pressure,FALSE,FALSE,NA,greater 100 mmhg,NA
3,NCT00095394,Inclusion,must have uncontrolled hypertension defined as : currently untreated with a diastolic blood pressure greater than 110 mmhg or currently receiving antihypertensive monotherapy with a diastolic blood pressure greater than 100 mmhg,Observation,Other,C3539106,defined,FALSE,FALSE,NA,NA,NA
4,NCT00095394,Inclusion,monotherapy is defined as treatment with one antihypertensive medication for at least four weeks,Drug Exposure,Drug,C0003364,antihypertensive,FALSE,FALSE,NA,NA,NA
4,NCT00095394,Inclusion,monotherapy is defined as treatment with one antihypertensive medication for at least four weeks,Drug Exposure,Other,C3539106,defined,FALSE,FALSE,NA,NA,NA
5,NCT00095394,Inclusion,fixed combination therapy does not represent monotherapy ;,Condition Occurrence,Condition,C2827483,fixed,FALSE,FALSE,NA,NA,NA
5,NCT00095394,Inclusion,fixed combination therapy does not represent monotherapy ;,Condition Occurrence,Procedure,C0009429;C0556895,combination therapy,FALSE,FALSE,NA,NA,NA
6,NCT00095394,Inclusion,must be willing to discontinue antihypertensive medication ; if applicable ;,Drug Exposure,Drug,C0003364,antihypertensive,FALSE,FALSE,NA,NA,NA
6,NCT00095394,Inclusion,must be willing to discontinue antihypertensive medication ; if applicable ;,Drug Exposure,Other,C1706472,discontinue,FALSE,FALSE,NA,NA,NA
7,NCT00095394,Inclusion,women of childbearing potential ( wocbp ) must be using an adequate method of contraception to avoid pregnancy throughout the study and for up to one week after the study in such a manner that the risk of pregnancy is minimized .,Observation,Person,C0086287,women,FALSE,FALSE,NA,NA,NA
7,NCT00095394,Inclusion,women of childbearing potential ( wocbp ) must be using an adequate method of contraception to avoid pregnancy throughout the study and for up to one week after the study in such a manner that the risk of pregnancy is minimized .,Observation,Procedure,C0700589,contraception,FALSE,FALSE,NA,NA,NA
7,NCT00095394,Inclusion,women of childbearing potential ( wocbp ) must be using an adequate method of contraception to avoid pregnancy throughout the study and for up to one week after the study in such a manner that the risk of pregnancy is minimized .,Observation,Observation,C3831118,childbearing potential,FALSE,FALSE,NA,NA,NA
7,NCT00095394,Inclusion,women of childbearing potential ( wocbp ) must be using an adequate method of contraception to avoid pregnancy throughout the study and for up to one week after the study in such a manner that the risk of pregnancy is minimized .,Observation,Other,C2827714;C0871511;C2828387,method,FALSE,FALSE,NA,NA,NA
7,NCT00095394,Inclusion,women of childbearing potential ( wocbp ) must be using an adequate method of contraception to avoid pregnancy throughout the study and for up to one week after the study in such a manner that the risk of pregnancy is minimized .,Observation,Other,C0032961;C3484365,pregnancy,FALSE,FALSE,NA,NA,NA
7,NCT00095394,Inclusion,women of childbearing potential ( wocbp ) must be using an adequate method of contraception to avoid pregnancy throughout the study and for up to one week after the study in such a manner that the risk of pregnancy is minimized .,Observation,Other,C0032961;C3484365,pregnancy,FALSE,FALSE,NA,NA,NA
8,NCT00095394,Inclusion,wocbp must have a negative serum or urine pregnancy test within 72 hours prior to the start of study medication .,Observation,Observation,C1513916,negative,FALSE,FALSE,NA,NA,NA
8,NCT00095394,Inclusion,wocbp must have a negative serum or urine pregnancy test within 72 hours prior to the start of study medication .,Observation,Observation,C0430056;C0373524,urine pregnancy test,FALSE,FALSE,lower 72 hours,NA,NA
8,NCT00095394,Inclusion,wocbp must have a negative serum or urine pregnancy test within 72 hours prior to the start of study medication .,Observation,Other,C0229671;C1546774;C1550100,serum,FALSE,FALSE,lower 72 hours,NA,NA
9,NCT00095394,Exclusion,women who are pregnant or breastfeeding ;,Condition Occurrence,Person,C0086287,women,FALSE,FALSE,NA,NA,NA
9,NCT00095394,Exclusion,women who are pregnant or breastfeeding ;,Condition Occurrence,Condition,C0549206,pregnant,FALSE,FALSE,NA,NA,NA
9,NCT00095394,Exclusion,women who are pregnant or breastfeeding ;,Condition Occurrence,Condition,C0006147;C1623041;C1623040,breastfeeding,FALSE,FALSE,NA,NA,NA
10,NCT00095394,Exclusion,known or suspected secondary hypertension ;,Condition Occurrence,Condition,C0155616,secondary hypertension,FALSE,FALSE,NA,NA,NA
11,NCT00095394,Exclusion,hypertension emergencies or stroke within the past 12 months ;,Condition Occurrence,Condition,C2745965,emergencies,FALSE,FALSE,lower 12 past months,NA,NA
11,NCT00095394,Exclusion,hypertension emergencies or stroke within the past 12 months ;,Condition Occurrence,Observation,C0020538;C1963138,hypertension,FALSE,FALSE,NA,NA,NA
12,NCT00095394,Exclusion,heart attack ; angina or bypass surgery within the past 6 months ;,Condition Occurrence,Condition,C0027051,heart attack,FALSE,FALSE,lower 6 past months,NA,NA
12,NCT00095394,Exclusion,heart attack ; angina or bypass surgery within the past 6 months ;,Condition Occurrence,Procedure,C1536078,bypass surgery,FALSE,FALSE,lower 6 past months,NA,NA
12,NCT00095394,Exclusion,heart attack ; angina or bypass surgery within the past 6 months ;,Condition Occurrence,Other,C0002962;C2024883;C2926611,angina,FALSE,FALSE,lower 6 past months,NA,NA
13,NCT00095394,Exclusion,significant kidney disease ;,Condition Occurrence,Condition,C0022658,kidney disease,FALSE,FALSE,NA,NA,NA
14,NCT00095394,Exclusion,significant liver disease ;,Condition Occurrence,Condition,C0023895;C2186532,liver disease,FALSE,FALSE,NA,NA,NA
15,NCT00095394,Exclusion,systemic lupus erythematosus ;,Condition Occurrence,Condition,C0024141,systemic lupus erythematosus,FALSE,FALSE,NA,NA,NA
16,NCT00095394,Exclusion,gastrointestinal disease or surgery that may interfere with drug absorption ;,Condition Occurrence,Condition,C0017178,gastrointestinal disease,FALSE,FALSE,NA,NA,NA
16,NCT00095394,Exclusion,gastrointestinal disease or surgery that may interfere with drug absorption ;,Condition Occurrence,Condition,C0678745,drug absorption,FALSE,FALSE,NA,NA,NA
16,NCT00095394,Exclusion,gastrointestinal disease or surgery that may interfere with drug absorption ;,Condition Occurrence,Other,C0543467;C1457907,surgery,FALSE,FALSE,NA,NA,NA
17,NCT00095394,Exclusion,cancer during the past five years excluding localized squamous cell carcinoma or basal cell carcinoma of the skin ;,Condition Occurrence,Condition,C0007137;C1302853,squamous cell carcinoma,TRUE,FALSE,NA,NA,NA
17,NCT00095394,Exclusion,cancer during the past five years excluding localized squamous cell carcinoma or basal cell carcinoma of the skin ;,Condition Occurrence,Condition,C0007117,basal cell carcinoma of the skin,TRUE,FALSE,NA,NA,NA
17,NCT00095394,Exclusion,cancer during the past five years excluding localized squamous cell carcinoma or basal cell carcinoma of the skin ;,Condition Occurrence,Other,C0260515;C2707253,cancer,FALSE,FALSE,NA,NA,NA
18,NCT00095394,Exclusion,currently pregnant or lactating ;,Condition Occurrence,Condition,C0549206,pregnant,FALSE,FALSE,NA,NA,NA
18,NCT00095394,Exclusion,currently pregnant or lactating ;,Condition Occurrence,Condition,C2828358;C3668831,lactating,FALSE,FALSE,NA,NA,NA
19,NCT00095394,Exclusion,mental condition ( psychiatric cerebral disease or organic cerebral disease ) rendering the subject unable to understand the nature ; scope ; and possible consequences of the study ;,Other,Other,C1548428;C1561580,psychiatric,FALSE,FALSE,NA,NA,NA
20,NCT00095394,Exclusion,drug or alcohol abuse within the last five years ;,Condition Occurrence,Condition,C0085762,alcohol abuse,FALSE,FALSE,NA,NA,NA
20,NCT00095394,Exclusion,drug or alcohol abuse within the last five years ;,Condition Occurrence,Other,C0013227;C1254351;C0740721,drug,FALSE,FALSE,NA,NA,NA
21,NCT00095394,Exclusion,known allergy to irbesartan or diuretics,Drug Exposure,Drug,C0288171,irbesartan,FALSE,FALSE,NA,NA,NA
