nct_id,ctgov_group_code,arm_name_ae,same_name_as_baseline,name_baseline,adverse_event_term,frequency_threshold,default_vocab,subjects_affected,subjects_at_risk,description
NCT00281580,E13,Telmisartan 80 mg Plus Amlodipine 10 mg (T80+A10),TRUE,Telmisartan 80 mg Plus Amlodipine 10 mg (T80+A10),"Total, serious adverse events",0,MedDRA 10.0,0,142,
NCT00281580,E13,Telmisartan 80 mg Plus Amlodipine 10 mg (T80+A10),TRUE,Telmisartan 80 mg Plus Amlodipine 10 mg (T80+A10),"Total, other adverse events",5,MedDRA 10.0,23,NA,
NCT00281580,E14,Amlodipine 2.5 mg (A2.5),TRUE,Amlodipine 2.5 mg (A2.5),"Total, serious adverse events",0,MedDRA 10.0,1,50,
NCT00281580,E14,Amlodipine 2.5 mg (A2.5),TRUE,Amlodipine 2.5 mg (A2.5),"Total, other adverse events",5,MedDRA 10.0,2,NA,
NCT00281580,E15,Amlodipine 5 mg (A5),TRUE,Amlodipine 5 mg (A5),"Total, serious adverse events",0,MedDRA 10.0,1,140,
NCT00281580,E15,Amlodipine 5 mg (A5),TRUE,Amlodipine 5 mg (A5),"Total, other adverse events",5,MedDRA 10.0,10,NA,
NCT00281580,E16,Amlodipine 10 mg (A10),TRUE,Amlodipine 10 mg (A10),"Total, serious adverse events",0,MedDRA 10.0,0,129,
NCT00281580,E16,Amlodipine 10 mg (A10),TRUE,Amlodipine 10 mg (A10),"Total, other adverse events",5,MedDRA 10.0,29,NA,
NCT00281580,E2,Telmisartan 20 mg (T20),TRUE,Telmisartan 20 mg (T20),"Total, serious adverse events",0,MedDRA 10.0,0,42,
NCT00281580,E2,Telmisartan 20 mg (T20),TRUE,Telmisartan 20 mg (T20),"Total, other adverse events",5,MedDRA 10.0,5,NA,
NCT00281580,E3,Telmisartan 20 mg Plus Amlodipine 2.5 mg (T20+A2.5),TRUE,Telmisartan 20 mg Plus Amlodipine 2.5 mg (T20+A2.5),"Total, serious adverse events",0,MedDRA 10.0,0,44,
NCT00281580,E3,Telmisartan 20 mg Plus Amlodipine 2.5 mg (T20+A2.5),TRUE,Telmisartan 20 mg Plus Amlodipine 2.5 mg (T20+A2.5),"Total, other adverse events",5,MedDRA 10.0,4,NA,
NCT00281580,E4,Telmisartan 20 mg Plus Amlodipine 5 mg (T20+A5),TRUE,Telmisartan 20 mg Plus Amlodipine 5 mg (T20+A5),"Total, serious adverse events",0,MedDRA 10.0,0,46,
NCT00281580,E4,Telmisartan 20 mg Plus Amlodipine 5 mg (T20+A5),TRUE,Telmisartan 20 mg Plus Amlodipine 5 mg (T20+A5),"Total, other adverse events",5,MedDRA 10.0,5,NA,
NCT00281580,E5,Telmisartan 20 mg Plus Amlodipine 10 mg (T20+A10),TRUE,Telmisartan 20 mg Plus Amlodipine 10 mg (T20+A10),"Total, serious adverse events",0,MedDRA 10.0,0,44,
NCT00281580,E5,Telmisartan 20 mg Plus Amlodipine 10 mg (T20+A10),TRUE,Telmisartan 20 mg Plus Amlodipine 10 mg (T20+A10),"Total, other adverse events",5,MedDRA 10.0,6,NA,
NCT00281580,E6,Telmisartan 40 mg (T40),TRUE,Telmisartan 40 mg (T40),"Total, serious adverse events",0,MedDRA 10.0,0,130,
NCT00281580,E6,Telmisartan 40 mg (T40),TRUE,Telmisartan 40 mg (T40),"Total, other adverse events",5,MedDRA 10.0,13,NA,
NCT00281580,E7,Telmisartan 40 mg Plus Amlodipine 2.5 mg (T40+A2.5),TRUE,Telmisartan 40 mg Plus Amlodipine 2.5 mg (T40+A2.5),"Total, serious adverse events",0,MedDRA 10.0,0,47,
NCT00281580,E7,Telmisartan 40 mg Plus Amlodipine 2.5 mg (T40+A2.5),TRUE,Telmisartan 40 mg Plus Amlodipine 2.5 mg (T40+A2.5),"Total, other adverse events",5,MedDRA 10.0,3,NA,
NCT00281580,E8,Telmisartan 40 mg Plus Amlodipine 5 mg (T40+A5),TRUE,Telmisartan 40 mg Plus Amlodipine 5 mg (T40+A5),"Total, serious adverse events",0,MedDRA 10.0,0,143,
NCT00281580,E8,Telmisartan 40 mg Plus Amlodipine 5 mg (T40+A5),TRUE,Telmisartan 40 mg Plus Amlodipine 5 mg (T40+A5),"Total, other adverse events",5,MedDRA 10.0,9,NA,
NCT00281580,E9,Telmisartan 40 mg Plus Amlodipine 10 mg (T40+A10),TRUE,Telmisartan 40 mg Plus Amlodipine 10 mg (T40+A10),"Total, serious adverse events",0,MedDRA 10.0,0,129,
NCT00281580,E9,Telmisartan 40 mg Plus Amlodipine 10 mg (T40+A10),TRUE,Telmisartan 40 mg Plus Amlodipine 10 mg (T40+A10),"Total, other adverse events",5,MedDRA 10.0,13,NA,
NCT00368277,E1,Aliskiren,FALSE,,"Total, serious adverse events",0,MedDRA,35,452,Aliskiren based regimen
NCT00368277,E1,Aliskiren,FALSE,,"Total, other adverse events",5,MedDRA,170,452,Aliskiren based regimen
NCT00368277,E2,Ramipril,FALSE,,"Total, serious adverse events",0,MedDRA,27,444,Ramipril based regimen
NCT00368277,E2,Ramipril,FALSE,,"Total, other adverse events",5,MedDRA,181,444,Ramipril based regimen
NCT00413049,E1,Valsartan/Amlodipine 80/5 mg,TRUE,Valsartan/Amlodipine 80/5 mg,"Total, serious adverse events",0,MedDRA,4,349,"1 valsartan/amlodipine 80/5 mg tablet and 1 placebo capsule matching amlodipine 5 mg to be taken with water at approximately 8:00 a.m. once daily, except on the morning of every scheduled study visit, when study drug was taken after the completion of all other study procedures."
NCT00413049,E1,Valsartan/Amlodipine 80/5 mg,TRUE,Valsartan/Amlodipine 80/5 mg,"Total, other adverse events",5,,0,349,"1 valsartan/amlodipine 80/5 mg tablet and 1 placebo capsule matching amlodipine 5 mg to be taken with water at approximately 8:00 a.m. once daily, except on the morning of every scheduled study visit, when study drug was taken after the completion of all other study procedures."
NCT00413049,E2,Amlodipine 5 mg,TRUE,Amlodipine 5 mg,"Total, serious adverse events",0,MedDRA,2,349,"1 amlodipine 5 mg capsule and 1 placebo tablet matching valsartan/amlodipine 80/5 mg to be taken with water at approximately 8:00 a.m. once daily, except on the morning of every scheduled study visit, when study drug was taken after the completion of all other study procedures."
NCT00413049,E2,Amlodipine 5 mg,TRUE,Amlodipine 5 mg,"Total, other adverse events",5,,0,349,"1 amlodipine 5 mg capsule and 1 placebo tablet matching valsartan/amlodipine 80/5 mg to be taken with water at approximately 8:00 a.m. once daily, except on the morning of every scheduled study visit, when study drug was taken after the completion of all other study procedures."
NCT00413413,E1,Valsartan/Amlodipine 80/5 mg,TRUE,Valsartan/Amlodipine 80/5 mg,"Total, serious adverse events",0,MedDRA,4,308,"1 valsartan/amlodipine 80/5 mg tablet, 1 placebo capsule to match valsartan once daily"
NCT00413413,E1,Valsartan/Amlodipine 80/5 mg,TRUE,Valsartan/Amlodipine 80/5 mg,"Total, other adverse events",5,,0,308,"1 valsartan/amlodipine 80/5 mg tablet, 1 placebo capsule to match valsartan once daily"
NCT00413413,E2,Valsartan 80 mg,TRUE,Valsartan 80 mg,"Total, serious adverse events",0,MedDRA,0,307,"1 valsartan 80 mg capsule, 1 placebo tablet to match valsartan/amlodipine 80/5 mg once daily"
NCT00413413,E2,Valsartan 80 mg,TRUE,Valsartan 80 mg,"Total, other adverse events",5,,0,307,"1 valsartan 80 mg capsule, 1 placebo tablet to match valsartan/amlodipine 80/5 mg once daily"
NCT00413413,E3,Valsartan 160 mg,TRUE,Valsartan 160 mg,"Total, serious adverse events",0,MedDRA,4,303,"1 valsartan 160 mg capsule, 1 placebo tablet to match valsartan/amlodipine 80/5 mg once daily"
NCT00413413,E3,Valsartan 160 mg,TRUE,Valsartan 160 mg,"Total, other adverse events",5,,0,303,"1 valsartan 160 mg capsule, 1 placebo tablet to match valsartan/amlodipine 80/5 mg once daily"
NCT00425373,E1,Placebo,TRUE,Placebo,"Total, serious adverse events",0,MedDRA,2,166,4 tablet and 2 capsule placebos taken once daily
NCT00425373,E1,Placebo,TRUE,Placebo,"Total, other adverse events",5,MedDRA,17,166,4 tablet and 2 capsule placebos taken once daily
NCT00425373,E2,Valsartan 40 mg,TRUE,Valsartan 40 mg,"Total, serious adverse events",0,MedDRA,0,169,Valsartan 40 mg tablet plus 3 tablet and 2 capsule placebos taken once daily
NCT00425373,E2,Valsartan 40 mg,TRUE,Valsartan 40 mg,"Total, other adverse events",5,MedDRA,23,169,Valsartan 40 mg tablet plus 3 tablet and 2 capsule placebos taken once daily
NCT00425373,E3,Valsartan 80 mg,TRUE,Valsartan 80 mg,"Total, serious adverse events",0,MedDRA,0,163,Valsartan 80 mg tablet plus 3 tablet and 2 capsule placebos taken once daily
NCT00425373,E3,Valsartan 80 mg,TRUE,Valsartan 80 mg,"Total, other adverse events",5,MedDRA,19,163,Valsartan 80 mg tablet plus 3 tablet and 2 capsule placebos taken once daily
NCT00425373,E4,Amlodipine 2.5 mg,TRUE,Amlodipine 2.5 mg,"Total, serious adverse events",0,MedDRA,1,161,Amlodipine 2.5 mg capsule plus 4 tablet and 1 capsule placebos taken once daily
NCT00425373,E4,Amlodipine 2.5 mg,TRUE,Amlodipine 2.5 mg,"Total, other adverse events",5,MedDRA,12,161,Amlodipine 2.5 mg capsule plus 4 tablet and 1 capsule placebos taken once daily
NCT00425373,E5,Valsartan + Amlodipine 40/2.5 mg,TRUE,Valsartan + Amlodipine 40/2.5 mg,"Total, serious adverse events",0,MedDRA,0,159,Valsartan + amlodipine 40/2.5 mg tablet plus 3 tablet and 2 capsule placebos taken once daily
NCT00425373,E5,Valsartan + Amlodipine 40/2.5 mg,TRUE,Valsartan + Amlodipine 40/2.5 mg,"Total, other adverse events",5,MedDRA,17,159,Valsartan + amlodipine 40/2.5 mg tablet plus 3 tablet and 2 capsule placebos taken once daily
NCT00425373,E6,Valsartan + Amlodipine 80/2.5 mg,TRUE,Valsartan + Amlodipine 80/2.5 mg,"Total, serious adverse events",0,MedDRA,1,160,Valsartan + amlodipine 80/2.5 mg tablet plus 3 tablet and 2 capsule placebos taken once daily
NCT00425373,E6,Valsartan + Amlodipine 80/2.5 mg,TRUE,Valsartan + Amlodipine 80/2.5 mg,"Total, other adverse events",5,MedDRA,9,160,Valsartan + amlodipine 80/2.5 mg tablet plus 3 tablet and 2 capsule placebos taken once daily
NCT00425373,E7,Amlodipine 5 mg,TRUE,Amlodipine 5 mg,"Total, serious adverse events",0,MedDRA,0,161,Amlodipine 2.5 mg 2 capsules plus 4 tablet placebos taken once daily
NCT00425373,E7,Amlodipine 5 mg,TRUE,Amlodipine 5 mg,"Total, other adverse events",5,MedDRA,12,161,Amlodipine 2.5 mg 2 capsules plus 4 tablet placebos taken once daily
NCT00425373,E8,Valsartan + Amlodipine 40/5 mg,TRUE,Valsartan + Amlodipine 40/5 mg,"Total, serious adverse events",0,MedDRA,1,167,Valsartan + amlodipine 40/5mg tablet plus 3 tablet and 2 capsule placebos taken once daily
NCT00425373,E8,Valsartan + Amlodipine 40/5 mg,TRUE,Valsartan + Amlodipine 40/5 mg,"Total, other adverse events",5,MedDRA,20,167,Valsartan + amlodipine 40/5mg tablet plus 3 tablet and 2 capsule placebos taken once daily
NCT00425373,E9,Valsartan + Amlodipine 80/5 mg,TRUE,Valsartan + Amlodipine 80/5 mg,"Total, serious adverse events",0,MedDRA,0,162,Valsartan + amlodipine 80/5mg tablet plus 3 tablet and 2 capsule placebos taken once daily
NCT00425373,E9,Valsartan + Amlodipine 80/5 mg,TRUE,Valsartan + Amlodipine 80/5 mg,"Total, other adverse events",5,MedDRA,14,162,Valsartan + amlodipine 80/5mg tablet plus 3 tablet and 2 capsule placebos taken once daily
NCT00529451,E1,Aliskiren 300 mg,TRUE,Aliskiren 300 mg,"Total, serious adverse events",0,MedDRA,1,331,Aliskiren 300 mg once daily
NCT00529451,E1,Aliskiren 300 mg,TRUE,Aliskiren 300 mg,"Total, other adverse events",5,MedDRA,4,331,Aliskiren 300 mg once daily
NCT00529451,E2,Aliskiren 150 mg,TRUE,Aliskiren 150 mg,"Total, serious adverse events",0,MedDRA,2,323,Aliskiren 150 mg once daily
NCT00529451,E2,Aliskiren 150 mg,TRUE,Aliskiren 150 mg,"Total, other adverse events",5,MedDRA,3,323,Aliskiren 150 mg once daily
NCT00529451,E3,Aliskiren 75 mg,TRUE,Aliskiren 75 mg,"Total, serious adverse events",0,MedDRA,3,332,Aliskiren 75 mg once daily
NCT00529451,E3,Aliskiren 75 mg,TRUE,Aliskiren 75 mg,"Total, other adverse events",5,MedDRA,2,332,Aliskiren 75 mg once daily
NCT00529451,E4,Ramipril 5 mg,TRUE,Ramipril 5 mg,"Total, serious adverse events",0,MedDRA,1,329,Ramipril 5 mg once daily
NCT00529451,E4,Ramipril 5 mg,TRUE,Ramipril 5 mg,"Total, other adverse events",5,MedDRA,17,329,Ramipril 5 mg once daily
NCT00546754,E1,Losartan 50 mg/HCTZ 12.5 mg,TRUE,Losartan 50 mg/HCTZ 12.5 mg,"Total, serious adverse events",0,MedDRA 12.0,11,425,Patients could be titrated up from losartan 50 mg/hydrochlorothiazide (HCTZ) 12.5 mg to losartan 100 mg/HCTZ 25 mg only if needed to achieve target blood pressure.
NCT00546754,E1,Losartan 50 mg/HCTZ 12.5 mg,TRUE,Losartan 50 mg/HCTZ 12.5 mg,"Total, other adverse events",0,MedDRA 12.0,56,425,Patients could be titrated up from losartan 50 mg/hydrochlorothiazide (HCTZ) 12.5 mg to losartan 100 mg/HCTZ 25 mg only if needed to achieve target blood pressure.
NCT00546754,E2,Valsartan 80 mg/HCTZ 12.5 mg,TRUE,Valsartan 80 mg/HCTZ 12.5 mg,"Total, serious adverse events",0,MedDRA 12.0,5,383,Patients could be titrated up from valsartan 80 mg/HCTZ 12.5 mg to valsartan 160 mg/HCTZ 25 mg only if needed to achieve target blood pressure.
NCT00546754,E2,Valsartan 80 mg/HCTZ 12.5 mg,TRUE,Valsartan 80 mg/HCTZ 12.5 mg,"Total, other adverse events",0,MedDRA 12.0,57,383,Patients could be titrated up from valsartan 80 mg/HCTZ 12.5 mg to valsartan 160 mg/HCTZ 25 mg only if needed to achieve target blood pressure.
NCT00550953,E1,Telmisartan 40 mg Plus Amlodipine 5 mg Fixed-dose Combination,TRUE,Telmisartan 40 mg Plus Amlodipine 5 mg Fixed-dose Combination,"Total, serious adverse events",0,MedDRA 11.0,1,156,"T40/A5 tablet, oral, once daily in the morning"
NCT00550953,E1,Telmisartan 40 mg Plus Amlodipine 5 mg Fixed-dose Combination,TRUE,Telmisartan 40 mg Plus Amlodipine 5 mg Fixed-dose Combination,"Total, other adverse events",5,MedDRA 11.0,19,156,"T40/A5 tablet, oral, once daily in the morning"
NCT00550953,E2,Telmisartan 40 mg Monotherapy,TRUE,Telmisartan 40 mg Monotherapy,"Total, serious adverse events",0,MedDRA 11.0,0,158,"A5 capsule, oral, once daily in the morning"
NCT00550953,E2,Telmisartan 40 mg Monotherapy,TRUE,Telmisartan 40 mg Monotherapy,"Total, other adverse events",5,MedDRA 11.0,16,158,"A5 capsule, oral, once daily in the morning"
NCT00553267,E1,Amlodipine 10mg,TRUE,Amlodipine 10mg,"Total, serious adverse events",0,MedDRA 11.1,1,NA,
NCT00553267,E1,Amlodipine 10mg,TRUE,Amlodipine 10mg,"Total, other adverse events",5,MedDRA 11.1,22,NA,
NCT00553267,E2,Telmisartan 40mg and Amlodipine 10mg,TRUE,Telmisartan 40mg and Amlodipine 10mg,"Total, serious adverse events",0,MedDRA 11.1,3,NA,
NCT00553267,E2,Telmisartan 40mg and Amlodipine 10mg,TRUE,Telmisartan 40mg and Amlodipine 10mg,"Total, other adverse events",5,MedDRA 11.1,21,NA,
NCT00553267,E3,Telmisartan 80mg and Amlodipine 10mg,TRUE,Telmisartan 80mg and Amlodipine 10mg,"Total, serious adverse events",0,MedDRA 11.1,0,NA,
NCT00553267,E3,Telmisartan 80mg and Amlodipine 10mg,TRUE,Telmisartan 80mg and Amlodipine 10mg,"Total, other adverse events",5,MedDRA 11.1,27,NA,
NCT00558064,E1,Telmisartan 40 mg Plus Amlodipine 5 mg Fixed-dose Combination,TRUE,Telmisartan 40 mg Plus Amlodipine 5 mg Fixed-dose Combination,"Total, serious adverse events",0,MedDRA 11.1,1,269,"T40/A5 tablet, oral, once daily in the morning"
NCT00558064,E1,Telmisartan 40 mg Plus Amlodipine 5 mg Fixed-dose Combination,TRUE,Telmisartan 40 mg Plus Amlodipine 5 mg Fixed-dose Combination,"Total, other adverse events",5,MedDRA 11.1,25,269,"T40/A5 tablet, oral, once daily in the morning"
NCT00558064,E2,Amlodipine 5 mg Monotherapy,TRUE,Amlodipine 5 mg Monotherapy,"Total, serious adverse events",0,MedDRA 11.1,2,262,"A5 capsule, oral, once daily in the morning"
NCT00558064,E2,Amlodipine 5 mg Monotherapy,TRUE,Amlodipine 5 mg Monotherapy,"Total, other adverse events",5,MedDRA 11.1,34,262,"A5 capsule, oral, once daily in the morning"
NCT00558428,E1,Amlodipine 5mg,TRUE,Amlodipine 5mg,"Total, serious adverse events",0,MedDRA 11.0,2,267,
NCT00558428,E1,Amlodipine 5mg,TRUE,Amlodipine 5mg,"Total, other adverse events",5,MedDRA 11.0,22,267,
NCT00558428,E2,Amlodipine 10mg,TRUE,Amlodipine 10mg,"Total, serious adverse events",0,MedDRA 11.0,1,276,
NCT00558428,E2,Amlodipine 10mg,TRUE,Amlodipine 10mg,"Total, other adverse events",5,MedDRA 11.0,74,276,
NCT00558428,E3,Telmisartan 40mg and Amlodipine 5mg,TRUE,Telmisartan 40mg and Amlodipine 5mg,"Total, serious adverse events",0,MedDRA 11.0,2,277,
NCT00558428,E3,Telmisartan 40mg and Amlodipine 5mg,TRUE,Telmisartan 40mg and Amlodipine 5mg,"Total, other adverse events",5,MedDRA 11.0,14,277,
NCT00558428,E4,Telmisartan 80mg and Amlodipine 5mg,TRUE,Telmisartan 80mg and Amlodipine 5mg,"Total, serious adverse events",0,MedDRA 11.0,1,277,
NCT00558428,E4,Telmisartan 80mg and Amlodipine 5mg,TRUE,Telmisartan 80mg and Amlodipine 5mg,"Total, other adverse events",5,MedDRA 11.0,10,277,
NCT00591578,E1,Azilsartan Medoxomil 40 mg QD,TRUE,Azilsartan Medoxomil 40 mg QD,"Total, serious adverse events",0,MedDRA 11.1,8,327,"Azilsartan medoxomil 20 mg, tablets, orally, once daily for 2 weeks; titrated to 40 mg, tablets, orally, once daily for up to 22 weeks.
Open Label Extension: At Week 24/completion of the double-blind treatment phase, participants could elect to continue in 28 week, open-label extension (OLE) phase. All participants who elected to participate in the OLE phase initiated treatment with azilsartan medoxomil 40 mg, tablets, orally, independent of their double-blind treatment assignment. Investigators may have added, in a step-wise fashion, hydrochlorothiazide 12.5 mg, followed by hydrochlorothiazide 25 mg, followed by other antihypertensive medications (except angiotensin II receptor blockers) as needed to achieve target blood pressure (<140/90 mm Hg or <130/80 mm Hg for diabetics)."
NCT00591578,E1,Azilsartan Medoxomil 40 mg QD,TRUE,Azilsartan Medoxomil 40 mg QD,"Total, other adverse events",5,MedDRA 11.1,77,327,"Azilsartan medoxomil 20 mg, tablets, orally, once daily for 2 weeks; titrated to 40 mg, tablets, orally, once daily for up to 22 weeks.
Open Label Extension: At Week 24/completion of the double-blind treatment phase, participants could elect to continue in 28 week, open-label extension (OLE) phase. All participants who elected to participate in the OLE phase initiated treatment with azilsartan medoxomil 40 mg, tablets, orally, independent of their double-blind treatment assignment. Investigators may have added, in a step-wise fashion, hydrochlorothiazide 12.5 mg, followed by hydrochlorothiazide 25 mg, followed by other antihypertensive medications (except angiotensin II receptor blockers) as needed to achieve target blood pressure (<140/90 mm Hg or <130/80 mm Hg for diabetics)."
NCT00591578,E2,Azilsartan Medoxomil 80 mg QD,TRUE,Azilsartan Medoxomil 80 mg QD,"Total, serious adverse events",0,MedDRA 11.1,5,329,"Azilsartan medoxomil 20 mg, tablets, orally, once daily for 2 weeks; titrated to 80 mg, tablets, orally, once daily for up to 22 weeks.
Open Label Extension: At Week 24/completion of the double-blind treatment phase, participants could elect to continue in 28 week, open-label extension (OLE) phase. All participants who elected to participate in the OLE phase initiated treatment with azilsartan medoxomil 40 mg, tablets, orally, independent of their double-blind treatment assignment. Investigators may have added, in a step-wise fashion, hydrochlorothiazide 12.5 mg, followed by hydrochlorothiazide 25 mg, followed by other antihypertensive medications (except angiotensin II receptor blockers) as needed to achieve target blood pressure (<140/90 mm Hg or <130/80 mm Hg for diabetics)."
NCT00591578,E2,Azilsartan Medoxomil 80 mg QD,TRUE,Azilsartan Medoxomil 80 mg QD,"Total, other adverse events",5,MedDRA 11.1,74,329,"Azilsartan medoxomil 20 mg, tablets, orally, once daily for 2 weeks; titrated to 80 mg, tablets, orally, once daily for up to 22 weeks.
Open Label Extension: At Week 24/completion of the double-blind treatment phase, participants could elect to continue in 28 week, open-label extension (OLE) phase. All participants who elected to participate in the OLE phase initiated treatment with azilsartan medoxomil 40 mg, tablets, orally, independent of their double-blind treatment assignment. Investigators may have added, in a step-wise fashion, hydrochlorothiazide 12.5 mg, followed by hydrochlorothiazide 25 mg, followed by other antihypertensive medications (except angiotensin II receptor blockers) as needed to achieve target blood pressure (<140/90 mm Hg or <130/80 mm Hg for diabetics)."
NCT00591578,E3,Valsartan 320 mg QD,TRUE,Valsartan 320 mg QD,"Total, serious adverse events",0,MedDRA 11.1,8,326,"Valsartan 80 mg, tablets, orally, once daily for 2 weeks; titrated to 320 mg, tablets, orally, once daily for up to 22 weeks."
NCT00591578,E3,Valsartan 320 mg QD,TRUE,Valsartan 320 mg QD,"Total, other adverse events",5,MedDRA 11.1,53,326,"Valsartan 80 mg, tablets, orally, once daily for 2 weeks; titrated to 320 mg, tablets, orally, once daily for up to 22 weeks."
NCT00591578,E4,Open Label Extension,FALSE,,"Total, serious adverse events",0,MedDRA 11.1,4,170,"Azilsartan medoxomil 40 mg, tablets, orally, independent of participantâ€™s double-blind treatment assignment. Investigators may have added, in a step-wise fashion, hydrochlorothiazide 12.5 mg, followed by hydrochlorothiazide 25 mg, followed by other antihypertensive medications (except angiotensin II receptor blockers) as needed to achieve target blood pressure (<140/90 mm Hg or <130/80 mm Hg for diabetics)."
NCT00591578,E4,Open Label Extension,FALSE,,"Total, other adverse events",5,MedDRA 11.1,16,170,"Azilsartan medoxomil 40 mg, tablets, orally, independent of participantâ€™s double-blind treatment assignment. Investigators may have added, in a step-wise fashion, hydrochlorothiazide 12.5 mg, followed by hydrochlorothiazide 25 mg, followed by other antihypertensive medications (except angiotensin II receptor blockers) as needed to achieve target blood pressure (<140/90 mm Hg or <130/80 mm Hg for diabetics)."
NCT00614380,E1,Telmisartan 40mg and Amlodipine 5mg,TRUE,Telmisartan 40mg and Amlodipine 5mg,"Total, serious adverse events",0,MedDRA 11.1,22,976,
NCT00614380,E1,Telmisartan 40mg and Amlodipine 5mg,TRUE,Telmisartan 40mg and Amlodipine 5mg,"Total, other adverse events",5,MedDRA version 11.1,57,976,
NCT00614380,E2,Telmisartan 80mg and Amlodipine 5mg,TRUE,Telmisartan 80mg and Amlodipine 5mg,"Total, serious adverse events",0,MedDRA 11.1,6,397,
NCT00614380,E2,Telmisartan 80mg and Amlodipine 5mg,TRUE,Telmisartan 80mg and Amlodipine 5mg,"Total, other adverse events",5,MedDRA version 11.1,45,397,
