nct_id,other_id,phase,source,subjects_affected,subjects_at_risk,arm,notes,,,,unq_name,type_label,name,ctg_str,ctg_str_original
NCT00168779,502.476,Phase 4,Boehringer Ingelheim,,,,,,,,placebo,other,placebo,placebo,placebo
NCT00168779,502.476,Phase 4,Boehringer Ingelheim,,,,,,,,hydrochlorothiazide,drugs,telmisartan 80 mg / hydrochlorothiazide 25 mg,hydrochlorothiazide 25 mg,telmisartan 80 mg / hydrochlorothiazide 25 mg
NCT00168779,502.476,Phase 4,Boehringer Ingelheim,,,,,,,,hydrochlorothiazide,drugs,valsartan 160 mg / hydrochlorothiazide 25 mg,hydrochlorothiazide 25 mg,valsartan 160 mg / hydrochlorothiazide 25 mg
NCT00168857,502.397,Phase 4,Boehringer Ingelheim,,,,,,,NO SAE data in CSR summary,telmisartan,drugs,telmisartan,telmisartan,telmisartan
NCT00168857,502.397,Phase 4,Boehringer Ingelheim,,,,,,,,losartan,drugs,losartan,losartan,losartan
NCT00239369,502.48,Phase 3,Boehringer Ingelheim,,,,,,,Serious adverse events (SAEs) occurred in 4 patients (0.4%); none were considered to be related to treatment. ,telmisartan,drugs,Fixed dose combination telmisartan 80 mg + HCTZ 25 mg,fixed dose combination telmisartan 80 mg,fixed dose combination telmisartan 80 mg + hctz 25 mg
NCT00239369,502.48,Phase 3,Boehringer Ingelheim,,,,,,,,telmisartan,drugs,Fixed dose combination telmisartan 80 mg + HCTZ 12.5 mg,fixed dose combination telmisartan 80 mg,fixed dose combination telmisartan 80 mg + hctz 12.5 mg
NCT00239369,502.48,Phase 3,Boehringer Ingelheim,,,,,,,,hydrochlorothiazide,drugs,Fixed dose combination telmisartan 80 mg + HCTZ 25 mg,hctz 25 mg,fixed dose combination telmisartan 80 mg + hctz 25 mg
NCT00239369,502.48,Phase 3,Boehringer Ingelheim,,,,,,,,hydrochlorothiazide,drugs,Fixed dose combination telmisartan 80 mg + HCTZ 12.5 mg,hctz 12.5 mg,fixed dose combination telmisartan 80 mg + hctz 12.5 mg
NCT00240448,502.421,Phase 4,Boehringer Ingelheim,,,,,,,"Twenty-one patients reported SAEs during the trial: nine during the screening and/or run-in; ten during the randomization period; two post treatment. Of these patients, two were considered drug related (both in the T80-T80/H25 arm) and patients fully recovered. No patient deaths occurred during the study",telmisartan,drugs,telmisartan 80 mg/hydrochlorothiazide 25 mg,telmisartan 80 mg,telmisartan 80 mg/hydrochlorothiazide 25 mg
NCT00240448,502.421,Phase 4,Boehringer Ingelheim,,,,,,,,valsartan,drugs,valsartan 160 mg/hydrochlorothiazide 25 mg,valsartan 160 mg,valsartan 160 mg/hydrochlorothiazide 25 mg
NCT00240448,502.421,Phase 4,Boehringer Ingelheim,,,,,,,,placebo,other,placebo,placebo,placebo
NCT00240448,502.421,Phase 4,Boehringer Ingelheim,,,,,,,,hydrochlorothiazide,drugs,telmisartan 80 mg/hydrochlorothiazide 25 mg,hydrochlorothiazide 25 mg,telmisartan 80 mg/hydrochlorothiazide 25 mg
NCT00240448,502.421,Phase 4,Boehringer Ingelheim,,,,,,,,hydrochlorothiazide,drugs,valsartan 160 mg/hydrochlorothiazide 25 mg,hydrochlorothiazide 25 mg,valsartan 160 mg/hydrochlorothiazide 25 mg
NCT00240474,502.4,Phase 4,Boehringer Ingelheim,,,,,,,Thirty-seven patients experienced a serious adverse event. In twelve of these patients the event occurred during the placebo run-in phase. Twenty-four patients experienced a serious adverse event during the randomised treatment phase (11 in the telmisartan group and 13 in the amlodipine group). ,telmisartan,drugs,Telmisartan 80 mg + hydrochlorothiazide 12.5 mg,telmisartan 80 mg,telmisartan 80 mg + hydrochlorothiazide 12.5 mg
NCT00240474,502.4,Phase 4,Boehringer Ingelheim,,,,,,,,amlodipine,drugs,Amlodipine 10 mg + hydrochlorothiazide 12.5 mg,amlodipine 10 mg,amlodipine 10 mg + hydrochlorothiazide 12.5 mg
NCT00240474,502.4,Phase 4,Boehringer Ingelheim,,,,,,,,hydrochlorothiazide,drugs,Telmisartan 80 mg + hydrochlorothiazide 12.5 mg,hydrochlorothiazide 12.5 mg,telmisartan 80 mg + hydrochlorothiazide 12.5 mg
NCT00240474,502.4,Phase 4,Boehringer Ingelheim,,,,,,,,hydrochlorothiazide,drugs,Amlodipine 10 mg + hydrochlorothiazide 12.5 mg,hydrochlorothiazide 12.5 mg,amlodipine 10 mg + hydrochlorothiazide 12.5 mg
NCT00274599,502.392,Phase 4,Boehringer Ingelheim,,,,,,,Twenty-two (22) patients reported an SAE during the course of the trial. None of the SAEs were considered to be drug-related. ,telmisartan,drugs,Telmisartan,telmisartan,telmisartan
NCT00274599,502.392,Phase 4,Boehringer Ingelheim,,,,,,,,ramipril,drugs,Ramipril,ramipril,ramipril
NCT00274612,502.391,Phase 4,Boehringer Ingelheim,,,,,,,"Thirteen patients experienced a SAE during the study. For three of these patients, the SAE occurred prior to randomisation; none are documented after study completion. For ten others, the SAE occurred during the open-label treatment phase. Five of these patients were assigned to the telmisartan treatment group and five patients were assigned to the ramipril group. Overall, none of the SAEs were considered by the Investigators to be drug-related. ",telmisartan,drugs,Telmisartan,telmisartan,telmisartan
NCT00274612,502.391,Phase 4,Boehringer Ingelheim,,,,,,,,ramipril,drugs,Ramipril,ramipril,ramipril
NCT00281593,1236.1,Phase 3,Boehringer Ingelheim,,,,,,,,telmisartan,drugs,Telmisartan,telmisartan,telmisartan
NCT00281593,1236.1,Phase 3,Boehringer Ingelheim,,,,,,,,ramipril,drugs,Ramipril,ramipril,ramipril
NCT00316095,1228.1|EudraCT No.: 2005-002851-41,Phase 3,Boehringer Ingelheim,,,,,,," In the course of the trial, in total 13 patients experienced an SAE (0.8%) during treatment; with similar incidences in all treatment groups. None of the SAEs was considered drug-related by the investigator. In the course of the study a 70 year old male patient receiving T80 died. The cause of death was suspected acute myocardial infarction and was not considered study drug-related by the investigator.",telmisartan,drugs,telmisartan,telmisartan,telmisartan
NCT00316095,1228.1|EudraCT No.: 2005-002851-41,Phase 3,Boehringer Ingelheim,,,,,,,,simvastatin,drugs,simvastatin,simvastatin,simvastatin
NCT02172586,502.316,Phase 4,Boehringer Ingelheim,,,,,,, The incidence of serious AE was 1.6% on telmisartan and 1.1% on losartan.,telmisartan,drugs,Telmisartan,telmisartan,telmisartan
NCT02172586,502.316,Phase 4,Boehringer Ingelheim,,,,,,,,losartan,drugs,Losartan,losartan,losartan
NCT02172586,502.316,Phase 4,Boehringer Ingelheim,,,,,,,,hydrochlorothiazide,drugs,Hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide
NCT02175355,502.254,Phase 3,Boehringer Ingelheim,,,,,,,The incidence of serious adverse events was very low and none of the SAEs was judged to be �drug related� by the investigator or the clinical monitor. NO ACTUAL DATA.,telmisartan,drugs,Low dose of MicardisÂ®,low dose of micardisâ®,low dose of micardisâ®
NCT02175355,502.254,Phase 3,Boehringer Ingelheim,,,,,,,,telmisartan,drugs,Medium dose of MicardisÂ®,medium dose of micardisâ®,medium dose of micardisâ®
NCT02175355,502.254,Phase 3,Boehringer Ingelheim,,,,,,,,telmisartan,drugs,High dose of MicardisÂ®,high dose of micardisâ®,high dose of micardisâ®
NCT02175355,502.254,Phase 3,Boehringer Ingelheim,,,,,,,,hydrochlorothiazide,drugs,Hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide
NCT02175355,502.254,Phase 3,Boehringer Ingelheim,,,,,,,,placebo,other,Placebo,placebo,placebo
NCT02177396,502.256,Phase 3,Boehringer Ingelheim,,,,,,,NO SAE data in CSR summary,telmisartan,drugs,Telmisartan,telmisartan,telmisartan
NCT02177396,502.256,Phase 3,Boehringer Ingelheim,,,,,,,,valsartan,drugs,Valsartan,valsartan,valsartan
NCT02177396,502.256,Phase 3,Boehringer Ingelheim,,,,,,,,placebo,other,Placebo,placebo,placebo
NCT02177409,502.258,Phase 3,Boehringer Ingelheim,,,,,,,"There were 12 serious adverse events during the trial, six with an onset post-treatment, none was considered drug-related and only one patient was discontinued due to the SAE",telmisartan,drugs,Telmisartan,telmisartan,telmisartan
NCT02177409,502.258,Phase 3,Boehringer Ingelheim,,,,,,,,amlodipine,drugs,Amlodipine,amlodipine,amlodipine
NCT02177409,502.258,Phase 3,Boehringer Ingelheim,,,,,,,,placebo,other,Placebo,placebo,placebo
NCT02177435,502.261,Phase 3,Boehringer Ingelheim,,,,,,,Only three patients (two on Telm 80and one on FDC 80/12.5) reported serious AEs during the double-blind treatment period.,telmisartan,drugs,Telmisartan,telmisartan,telmisartan
NCT02177435,502.261,Phase 3,Boehringer Ingelheim,,,,,,,,telmisartan,drugs,Telmisartan/Hydrochlorothiazide,telmisartan,telmisartan/hydrochlorothiazide
NCT02177435,502.261,Phase 3,Boehringer Ingelheim,,,,,,,,placebo,other,Placebo,placebo,placebo
NCT02177435,502.261,Phase 3,Boehringer Ingelheim,,,,,,,,hydrochlorothiazide,drugs,Telmisartan/Hydrochlorothiazide,hydrochlorothiazide,telmisartan/hydrochlorothiazide
NCT02177461,502.317,Phase 4,Boehringer Ingelheim,,,,,,,Seven patients (3.6%) suffered 9 serious adverse events in the Telmisartan group and six patients (3.3%) suffered 9 serious adverse events in the enalapril group,telmisartan,drugs,Telmisartan,telmisartan,telmisartan
NCT02177461,502.317,Phase 4,Boehringer Ingelheim,,,,,,,,enalapril,drugs,Enalapril,enalapril,enalapril
NCT02177461,502.317,Phase 4,Boehringer Ingelheim,,,,,,,,clonidine,drugs,Clonidine,clonidine,clonidine
NCT02177500,502.323,Phase 3,Boehringer Ingelheim,,,,,,,One patient on Telm 40 reported a serious adverse event (intermittent chest pain of mild intensity) during the double-blind treatment period.,telmisartan,drugs,Telmisartan + hydrochlorothiazide,telmisartan,telmisartan + hydrochlorothiazide
NCT02177500,502.323,Phase 3,Boehringer Ingelheim,,,,,,,,telmisartan,drugs,Telmisartan,telmisartan,telmisartan
NCT02177500,502.323,Phase 3,Boehringer Ingelheim,,,,,,,,placebo,other,Placebo,placebo,placebo
NCT02177500,502.323,Phase 3,Boehringer Ingelheim,,,,,,,,hydrochlorothiazide,drugs,Telmisartan + hydrochlorothiazide,hydrochlorothiazide,telmisartan + hydrochlorothiazide
NCT02183701,502.257,Phase 3,Boehringer Ingelheim,,,,,,,NO SAE data in CSR summary,telmisartan,drugs,Telmisartan,telmisartan,telmisartan
NCT02183701,502.257,Phase 3,Boehringer Ingelheim,,,,,,,,losartan,drugs,Losartan + Hydrochlorothiazide,losartan,losartan + hydrochlorothiazide
NCT02183701,502.257,Phase 3,Boehringer Ingelheim,,,,,,,,placebo,other,Placebo,placebo,placebo
NCT02183701,502.257,Phase 3,Boehringer Ingelheim,,,,,,,,hydrochlorothiazide,drugs,Losartan + Hydrochlorothiazide,hydrochlorothiazide,losartan + hydrochlorothiazide
NCT02200640,502.343,Phase 4,Boehringer Ingelheim,,,,,,,NO SAE data in CSR summary,telmisartan,drugs,"High dose of MicardisÂ®, once daily",high dose of micardisâ®,"high dose of micardisâ®, once daily"
NCT02200640,502.343,Phase 4,Boehringer Ingelheim,,,,,,,,telmisartan,drugs,"Low dose of MicardisÂ®, once daily",low dose of micardisâ®,"low dose of micardisâ®, once daily"
NCT02200640,502.343,Phase 4,Boehringer Ingelheim,,,,,,,,losartan,drugs,"Low dose of COZAARÂ®, once daily",low dose of cozaarâ®,"low dose of cozaarâ®, once daily"
NCT02200640,502.343,Phase 4,Boehringer Ingelheim,,,,,,,,losartan,drugs,"High dose of COZAARÂ®, once daily",high dose of cozaarâ®,"high dose of cozaarâ®, once daily"
NCT02200640,502.343,Phase 4,Boehringer Ingelheim,,,,,,,,placebo,other,Placebo,placebo,placebo
NCT02200640,502.343,Phase 4,Boehringer Ingelheim,,,,,,,,not a drug,other,"High dose of MicardisÂ®, once daily",once daily,"high dose of micardisâ®, once daily"
NCT02200640,502.343,Phase 4,Boehringer Ingelheim,,,,,,,,not a drug,other,"Low dose of MicardisÂ®, once daily",once daily,"low dose of micardisâ®, once daily"
NCT02200640,502.343,Phase 4,Boehringer Ingelheim,,,,,,,,not a drug,other,"Low dose of COZAARÂ®, once daily",once daily,"low dose of cozaarâ®, once daily"
NCT02200640,502.343,Phase 4,Boehringer Ingelheim,,,,,,,,not a drug,other,"High dose of COZAARÂ®, once daily",once daily,"high dose of cozaarâ®, once daily"
NCT02200653,502.344,Phase 4,Boehringer Ingelheim,,,,,,,"In total 12 patients had a serious adverse event: one patient during the screening phase, six patients during the placebo run-in phase, and five patients during active treatment (n=2 on 40 mg telmisartan, n= l on 80 mg telmisartan, and n=2 on 50 mg losartan). All serious adverse events were unrelated to treatment except one case of syncope with 50 mg losartan. For two patients, the event (myocardial infarction) had a fatal outcome (n=l on 40 mg and 80 telmisartan each)",telmisartan,drugs,"High dose of MICARDISÂ®, once daily",high dose of micardisâ®,"high dose of micardisâ®, once daily"
NCT02200653,502.344,Phase 4,Boehringer Ingelheim,,,,,,,,telmisartan,drugs,"Low dose of MICARDISÂ®, once daily",low dose of micardisâ®,"low dose of micardisâ®, once daily"
NCT02200653,502.344,Phase 4,Boehringer Ingelheim,,,,,,,,losartan,drugs,"Low dose of COZAARÂ® / LORZAARÂ®, once daily",low dose of cozaarâ®,"low dose of cozaarâ® / lorzaarâ®, once daily"
NCT02200653,502.344,Phase 4,Boehringer Ingelheim,,,,,,,,losartan,drugs,"High dose of COZAARÂ® / LORZAARÂ®, once daily",high dose of cozaarâ®,"high dose of cozaarâ® / lorzaarâ®, once daily"
NCT02200653,502.344,Phase 4,Boehringer Ingelheim,,,,,,,,placebo,other,Placebo,placebo,placebo
NCT02200653,502.344,Phase 4,Boehringer Ingelheim,,,,,,,,not a drug,other,"High dose of MICARDISÂ®, once daily",once daily,"high dose of micardisâ®, once daily"
NCT02200653,502.344,Phase 4,Boehringer Ingelheim,,,,,,,,not a drug,other,"Low dose of MICARDISÂ®, once daily",once daily,"low dose of micardisâ®, once daily"
NCT02200653,502.344,Phase 4,Boehringer Ingelheim,,,,,,,,hydrochlorothiazide,combination,"Low dose of COZAARÂ® / LORZAARÂ®, once daily",lorzaarâ®,"low dose of cozaarâ® / lorzaarâ®, once daily"
NCT02200653,502.344,Phase 4,Boehringer Ingelheim,,,,,,,,losartan,combination,"Low dose of COZAARÂ® / LORZAARÂ®, once daily",lorzaarâ®,"low dose of cozaarâ® / lorzaarâ®, once daily"
NCT02200653,502.344,Phase 4,Boehringer Ingelheim,,,,,,,,hydrochlorothiazide,combination,"High dose of COZAARÂ® / LORZAARÂ®, once daily",lorzaarâ®,"high dose of cozaarâ® / lorzaarâ®, once daily"
NCT02200653,502.344,Phase 4,Boehringer Ingelheim,,,,,,,,losartan,combination,"High dose of COZAARÂ® / LORZAARÂ®, once daily",lorzaarâ®,"high dose of cozaarâ® / lorzaarâ®, once daily"
NCT02200653,502.344,Phase 4,Boehringer Ingelheim,,,,,,,,not a drug,other,"Low dose of COZAARÂ® / LORZAARÂ®, once daily",once daily,"low dose of cozaarâ® / lorzaarâ®, once daily"
NCT02200653,502.344,Phase 4,Boehringer Ingelheim,,,,,,,,not a drug,other,"High dose of COZAARÂ® / LORZAARÂ®, once daily",once daily,"high dose of cozaarâ® / lorzaarâ®, once daily"
NCT02242318,502.376,Phase 4,Boehringer Ingelheim,,,,,,,"There were no SAEs in patients treated with telmisartan, and two with valsartan 160 mg. In the post-treatment period there were three SAEs in two patients who both had been treated with valsartan",telmisartan,drugs,Telmisartan,telmisartan,telmisartan
NCT02242318,502.376,Phase 4,Boehringer Ingelheim,,,,,,,,valsartan,drugs,Valsartan,valsartan,valsartan
NCT02242318,502.376,Phase 4,Boehringer Ingelheim,,,,,,,,placebo,other,Placebo,placebo,placebo
NCT02269176,502.365,Phase 3,Boehringer Ingelheim,,,,,,,NO SAE data in CSR summary,telmisartan,drugs,Low dose of telmisartan,low dose of telmisartan,low dose of telmisartan
NCT02269176,502.365,Phase 3,Boehringer Ingelheim,,,,,,,,telmisartan,drugs,High dose of telmisartan,high dose of telmisartan,high dose of telmisartan
NCT02269176,502.365,Phase 3,Boehringer Ingelheim,,,,,,,,losartan,drugs,Low dose of losartan,low dose of losartan,low dose of losartan
NCT02269176,502.365,Phase 3,Boehringer Ingelheim,,,,,,,,losartan,drugs,High dose of losartan,high dose of losartan,high dose of losartan
NCT02495324,BR-FVO-CT-401,Phase 4,"Boryung Pharmaceutical Co., Ltd",,,,,,,,placebo,other,Placebo,placebo,placebo
NCT02495324,BR-FVO-CT-401,Phase 4,"Boryung Pharmaceutical Co., Ltd",,,,,,,,fimasartan,drugs,Fimasartan,fimasartan,fimasartan
NCT02495324,BR-FVO-CT-401,Phase 4,"Boryung Pharmaceutical Co., Ltd",,,,,,,,valsartan,drugs,Valsartan,valsartan,valsartan
NCT02495324,BR-FVO-CT-401,Phase 4,"Boryung Pharmaceutical Co., Ltd",,,,,,,,olmesartan,drugs,Olmesartan medoxomil,olmesartan medoxomil,olmesartan medoxomil
NCT00095394,CV131-176,Phase 3,Bristol-Myers Squibb,,,,,,,,irbesartan,drugs,Irbesartan/HCTZ,irbesartan,irbesartan/hctz
NCT00095394,CV131-176,Phase 3,Bristol-Myers Squibb,,,,,,,,irbesartan,drugs,Irbesartan monotherapy,irbesartan monotherapy,irbesartan monotherapy
NCT00095394,CV131-176,Phase 3,Bristol-Myers Squibb,,,,,,,,hydrochlorothiazide,drugs,Irbesartan/HCTZ,hctz,irbesartan/hctz
NCT00095550,CV131-185,Phase 3,Bristol-Myers Squibb,,,,,,,,irbesartan,drugs,Irbesartan/HCTZ,irbesartan,irbesartan/hctz
NCT00095550,CV131-185,Phase 3,Bristol-Myers Squibb,,,,,,,,irbesartan,drugs,Irbesartan monotherapy,irbesartan monotherapy,irbesartan monotherapy
NCT00095550,CV131-185,Phase 3,Bristol-Myers Squibb,,,,,,,,not a drug,other,HCTZ monotherapy,hctz monotherapy,hctz monotherapy
NCT00095550,CV131-185,Phase 3,Bristol-Myers Squibb,,,,,,,,hydrochlorothiazide,drugs,Irbesartan/HCTZ,hctz,irbesartan/hctz
NCT00110422,CV131-186,Phase 4,Bristol-Myers Squibb,,,,,,,,irbesartan,drugs,Irbesartan,irbesartan,irbesartan
NCT00110422,CV131-186,Phase 4,Bristol-Myers Squibb,,,,,,,,hydrochlorothiazide,drugs,Hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide
NCT00454662,31-JAN-2007|COLM001,Phase 4,COLM Study Research Organization,,,,,,,,olmesartan,drugs,olmesartan medoxomil / amlodipine or azelnidipine,olmesartan medoxomil,olmesartan medoxomil / amlodipine or azelnidipine
NCT00454662,31-JAN-2007|COLM001,Phase 4,COLM Study Research Organization,,,,,,,,olmesartan,drugs,olmesartan medoxomil / low dose thiazide type drug,olmesartan medoxomil,olmesartan medoxomil / low dose thiazide type drug
NCT00454662,31-JAN-2007|COLM001,Phase 4,COLM Study Research Organization,,,,,,,,amlodipine,drugs,olmesartan medoxomil / amlodipine or azelnidipine,amlodipine,olmesartan medoxomil / amlodipine or azelnidipine
NCT00454662,31-JAN-2007|COLM001,Phase 4,COLM Study Research Organization,,,,,,,,"C03A LOW-CEILING DIURETICS, THIAZIDES",classes,olmesartan medoxomil / low dose thiazide type drug,low dose thiazide type drug,olmesartan medoxomil / low dose thiazide type drug
NCT00454662,31-JAN-2007|COLM001,Phase 4,COLM Study Research Organization,,,,,,,,azelnidipine,drugs,olmesartan medoxomil / amlodipine or azelnidipine,azelnidipine,olmesartan medoxomil / amlodipine or azelnidipine
NCT00151827,SE-866/43,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,olmesartan,drugs,Olmesartan medoxomil,olmesartan medoxomil,olmesartan medoxomil
NCT00151827,SE-866/43,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,losartan,drugs,Losartan,losartan,losartan
NCT00151827,SE-866/43,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,furosemide,drugs,Furosemide oral tablets,furosemide oral tablets,furosemide oral tablets
NCT00185133,CS8663-A-U301,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,olmesartan,drugs,Olmesartan medoxomil,olmesartan medoxomil,olmesartan medoxomil
NCT00185133,CS8663-A-U301,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,amlodipine,drugs,Amlodipine,amlodipine,amlodipine
NCT00185172,SP-OLM-01-00,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,placebo,other,placebo,placebo,placebo
NCT00185172,SP-OLM-01-00,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,olmesartan,drugs,olmesartan medoxomil,olmesartan medoxomil,olmesartan medoxomil
NCT00185172,SP-OLM-01-00,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,olmesartan,drugs,"olmesartan medoxomil oral tablets, hydrochlorothiazide oral tablets",olmesartan medoxomil oral tablets,"olmesartan medoxomil oral tablets, hydrochlorothiazide oral tablets"
NCT00185172,SP-OLM-01-00,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,hydrochlorothiazide,drugs,"olmesartan medoxomil oral tablets, hydrochlorothiazide oral tablets",hydrochlorothiazide oral tablets,"olmesartan medoxomil oral tablets, hydrochlorothiazide oral tablets"
NCT00220220,CS8663-A-E302,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,olmesartan,drugs,olmesartan medoxomil,olmesartan medoxomil,olmesartan medoxomil
NCT00220220,CS8663-A-E302,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,amlodipine,drugs,amlodipine,amlodipine,amlodipine
NCT00220233,CS8663-A-E303,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,olmesartan,drugs,olmesartan medoxomil,olmesartan medoxomil,olmesartan medoxomil
NCT00220233,CS8663-A-E303,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,amlodipine,drugs,amlodipine,amlodipine,amlodipine
NCT00220233,CS8663-A-E303,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,hydrochlorothiazide,drugs,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide
NCT00751751,SE-866/36,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,olmesartan,drugs,"olmesartan medoxomil + hydrochlorothiazide, if necessary",olmesartan medoxomil,"olmesartan medoxomil + hydrochlorothiazide, if necessary"
NCT00751751,SE-866/36,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,losartan,drugs,"losartan + hydrochlorothiazide, if necessary",losartan,"losartan + hydrochlorothiazide, if necessary"
NCT00751751,SE-866/36,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,hydrochlorothiazide,drugs,"olmesartan medoxomil + hydrochlorothiazide, if necessary",hydrochlorothiazide,"olmesartan medoxomil + hydrochlorothiazide, if necessary"
NCT00751751,SE-866/36,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,hydrochlorothiazide,drugs,"losartan + hydrochlorothiazide, if necessary",hydrochlorothiazide,"losartan + hydrochlorothiazide, if necessary"
NCT00751751,SE-866/36,Phase 3,"Daiichi Sankyo, Inc.",,,,,,,,not a drug,other,"olmesartan medoxomil + hydrochlorothiazide, if necessary",if necessary,"olmesartan medoxomil + hydrochlorothiazide, if necessary"
